job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Event Planner,,Technical Support,Lead,"Sep 06, 2024",14/10/2024,2024-10-14,RH,Tizi Ouzou,Master,18,Temps plein,10,"Profil recherché (FR):
Responsabilités: SQL, Negotiation, CAD
Profil:
- Logistics
- Communication
- Graphic Design
Compétences:
- Compliance
- Digital Marketing
- Research
Avantages: Organization; Customer Service; Negotiation; Coordination; Blockchain
","Formation continue, Participation bénéfices, Ticket Restaurant",36784,"Problem Solving, Communication, Teamwork, Critical Thinking, Adaptability",6,15
Data Scientist,,Customer Success,Lead,04/12/2024,03/03/2025,2025-03-03,Finance,Oran,None,0,Stage,1,"Profil recherché (MIX):
Responsabilités: Customer Service; Cloud; CAD; Coordination; Logistics
Profil: Python; Negotiation; Maintenance; Digital Marketing
Compétences:
- Excel
- Negotiation
Avantages: CAD, SQL
","Télétravail partiel, Formation continue, Participation bénéfices",55136,"Kubernetes, Machine Learning, Network Security, DevOps",4,5
Training Specialist,,Training,Chief,2024-07-07,12 September 2024,2024-09-12,Ingénierie,Constantine,Master,18,Freelance,5,"Contrat: Freelance. Localisation: Constantine. Département: Legal. En tant que Chief Training Specialist, vous serez amené à superviser l’équipe. As Chief Training Specialist, you'll lead strategic projects.",,44677,"Adaptability, Problem Solving, Critical Thinking, Time Management, Communication",6,8
Data Scientist,,Quality Assurance,Lead,2024-12-29,07 March 2025,2025-03-07,Marketing,Alger,Licence,16,Alternance,1,"Profil recherché (MIX):
Responsabilités:
- Machine Learning
- Python
- Graphic Design
Profil: Network Security, CAD, SQL, Graphic Design, Machine Learning
Compétences:
- SEO
- Customer Service
Avantages: Coordination, Leadership, Digital Marketing, Logistics
",,61668,"Cloud Computing, Python, Network Security, Machine Learning",4,8
Marketing Manager,,Quality Assurance,Junior,"Mar 19, 2025",03 June 2025,2025-06-03,Ventes,Tlemcen,None,0,Temps plein,3,"Profil recherché (MIX):
Responsabilités: Research; Machine Learning; Negotiation; SEO
Profil: Graphic Design; Excel; Blockchain
Compétences:
- Compliance
- Teamwork
- Cloud
Avantages: Compliance, Cloud, Network Security
","Ticket Restaurant, Télétravail partiel, Horaires flexibles",62818,"Google Analytics, Content Strategy, Social Media, Email Marketing, Public Relations, Brand Management",10,12
Event Planner,,Procurement,Mid,"Sep 12, 2024",30 November 2024,2024-11-30,Juridique,Annaba,Master,18,Alternance,2,"Profil recherché (FR):
Responsabilités: Java, Maintenance, Cloud
Profil:
- Graphic Design
- Excel
- Data Analysis
Compétences: SEO, Budgeting, Machine Learning
Avantages: Excel, SEO, Cloud
",Horaires flexibles,58501,"Critical Thinking, Adaptability, Teamwork, Communication, Time Management, Problem Solving",6,9
HR Coordinator,,Health & Safety,Lead,2024-11-14,10 December 2024,2024-12-10,Admin,Oran,None,0,Temps partiel,1,"Contrat: Temps partiel. Localisation: Oran. Département: HR. As Lead HR Coordinator, you'll manage strategic projects. En tant que Lead HR Coordinator, vous serez amené à superviser les relations clients.","Participation bénéfices, Horaires flexibles",30244,"HRIS, Payroll, Performance Management, Employee Relations, Recruitment",6,6
Cloud Architect,,Compliance,Mid,20/11/2024,29 January 2025,2025-01-29,Ingénierie,Télétravail,Master,18,Alternance,5,"Profil recherché (EN):
Responsabilités: Organization; Java; Teamwork; Leadership; Maintenance
Profil:
- Leadership
- CAD
Compétences:
- Negotiation
- Maintenance
- Research
- Data Analysis
- Python
Avantages:
- Graphic Design
- Excel
","Télétravail partiel, Prime performance, Participation bénéfices",116674,"Java, Kubernetes, C++, Docker",6,13
Tech Writer,,Health & Safety,Lead,"Aug 20, 2024",2024-11-04,2024-11-04,Admin,Tizi Ouzou,None,0,CDD,10,"Expérience requise: 10-20 ans. Éducation: None, 0 ans. Contrat: CDD. Localisation: Tizi Ouzou. Département: Operations. En tant que Lead Tech Writer, vous serez amené à superviser l’équipe.","Prime performance, Horaires flexibles, Participation bénéfices",100170,"DevOps, Network Security, Cloud Computing, C++, SQL, Kubernetes",10,20
UX Designer,,Administration,Chief,"Mar 16, 2025",2025-04-16,2025-04-16,Juridique,Hybride,Master,18,Alternance,1,"En tant que Chief UX Designer, vous serez amené à superviser les processus. As Chief UX Designer, you'll lead critical projects. Contrat: Alternance. Localisation: Hybride. Département: Marketing.",Télétravail partiel,46907,"Typography, Figma, Adobe Photoshop, Illustrator, Sketch, Prototyping, UX Research",3,10
Marketing Manager,,Health & Safety,Mid,11/07/2024,20/09/2024,2024-09-20,Informatique,Sétif,None,0,Stage,1,"Profil recherché (FR):
Responsabilités:
- Logistics
- Maintenance
- Technical Writing
Profil: Digital Marketing; Maintenance
Compétences:
- SQL
- Cloud
- Machine Learning
Avantages:
- Customer Service
- Teamwork
",,58326,"Campaign Planning, Brand Management, Social Media, SEO, Email Marketing",7,16
Blockchain Dev,,Technical Support,Lead,23 November 2024,25 December 2024,2024-12-25,Ingénierie,Hybride,Licence,16,CDD,3,"As Lead Blockchain Dev, you'll perform critical projects. Contrat: CDD. Localisation: Hybride. Département: Finance. En tant que Lead Blockchain Dev, vous serez amené à coordonner les systèmes.",,45178,"Communication, Time Management, Teamwork, Critical Thinking, Problem Solving",3,5
HR Coordinator,,Data Science,Chief,"Aug 04, 2024",2024-10-02,2024-10-02,Marketing,Béjaïa,None,0,Alternance,5,"En tant que Chief HR Coordinator, vous serez amené à développer les relations clients. Expérience requise: 10-17 ans. Éducation: None, 0 ans. As Chief HR Coordinator, you'll manage key projects.","Prime performance, Voiture de fonction",31699,"Payroll, HRIS, Onboarding, Performance Management",10,17
Graphic Designer,,Design,Junior,2024-07-09,26/09/2024,2024-09-26,Logistique,El Oued,Bac,12,Stage,10,"As Junior Graphic Designer, you'll manage key projects. Contrat: Stage. Localisation: El Oued. Département: Finance. Expérience requise: 0-6 ans. Éducation: Bac, 12 ans.","Prime performance, Assurance santé, Formation continue",48190,"Adobe Photoshop, Typography, Sketch, Prototyping, UX Research, Illustrator, Figma",0,6
Event Planner,,Risk Management,Senior,08 January 2025,2025-03-10,2025-03-10,Santé,Alger,Licence,16,Temps partiel,5,"Profil recherché (EN):
Responsabilités: Java; Machine Learning; Organization; SQL
Profil: Strategic Planning, Data Analysis, CAD, Digital Marketing, Negotiation
Compétences:
- Research
- Logistics
- Blockchain
- Python
Avantages: Maintenance, UX/UI, Graphic Design, Network Security
","Horaires flexibles, Voiture de fonction, Ticket Restaurant",58535,"Problem Solving, Time Management, Adaptability, Communication",1,3
Bioengineer,,Investor Relations,Senior,"May 14, 2024",2024-06-09,2024-06-09,Ventes,Télétravail,Master,18,CDD,1,"Profil recherché (FR):
Responsabilités: Negotiation, Digital Marketing, SEO, Machine Learning
Profil:
- UX/UI
- Python
- Strategic Planning
- Excel
Compétences:
- Cloud
- Strategic Planning
- Graphic Design
Avantages:
- Communication
- Data Analysis
","Voiture de fonction, Télétravail partiel, Participation bénéfices",110434,"Docker, DevOps, SQL, Kubernetes, Cloud Computing, Java, C++",8,13
Content Writer,,Administration,Senior,2025-04-17,2025-05-21,2025-05-21,Marketing,Hybride,None,0,Freelance,10,"Profil recherché (MIX):
Responsabilités: Maintenance, Compliance, Blockchain
Profil:
- Organization
- UX/UI
- Digital Marketing
- Machine Learning
- Cloud
Compétences:
- Coordination
- Blockchain
Avantages:
- Java
- Logistics
",,105284,"Cloud Computing, Machine Learning, SQL, Docker, Network Security, C++, DevOps",7,11
Legal Advisor,,Compliance,Senior,"Apr 12, 2025",21 May 2025,2025-05-21,Logistique,Télétravail,Master,18,CDD,5,"Profil recherché (FR):
Responsabilités:
- Machine Learning
- Strategic Planning
Profil:
- Customer Service
- Technical Writing
Compétences:
- CAD
- Compliance
- Java
- Budgeting
Avantages:
- Project Mgmt
- Logistics
",,77394,"Legal Research, Regulatory Affairs, Compliance, Litigation Support",7,17
Event Planner,,Strategy,Junior,"May 21, 2024",17 July 2024,2024-07-17,Marketing,Blida,Bac,12,CDI,1,"Expérience requise: 5-15 ans. Éducation: Bac, 12 ans. Contrat: CDI. Localisation: Blida. Département: Sales. En tant que Junior Event Planner, vous serez amené à développer les processus.","Participation bénéfices, Voiture de fonction, Ticket Restaurant",49080,"Critical Thinking, Time Management, Communication, Teamwork",5,15
Volunteer Coord.,,Design,Junior,25/04/2024,2024-05-30,2024-05-30,RH,Annaba,Licence,16,Temps partiel,3,"Contrat: Temps partiel. Localisation: Annaba. Département: Engineering. En tant que Junior Volunteer Coord., vous serez amené à développer les processus. Expérience requise: 3-4 ans. Éducation: Licence, 16 ans.","Prime performance, Télétravail partiel",36284,"Time Management, Communication, Critical Thinking, Problem Solving",3,4
Investment Banker,,Corporate Affairs,Senior,"Feb 17, 2025",09 March 2025,2025-03-09,Marketing,Saïda,None,0,Freelance,1,"Profil recherché (MIX):
Responsabilités: CAD, Graphic Design, Organization
Profil:
- Java
- Teamwork
- Machine Learning
- Digital Marketing
- Blockchain
Compétences: Digital Marketing; Excel; Graphic Design; Strategic Planning
Avantages:
- Logistics
- SQL
","Horaires flexibles, Voiture de fonction",53170,"Investment Strategies, Audit, Risk Management, Financial Analysis, Forecasting, Budgeting",3,8
Translator,,Business Development,Chief,26 June 2024,2024-07-20,2024-07-20,Admin,Saïda,Doctorat,20,Stage,10,"As Chief Translator, you'll design strategic projects. Contrat: Stage. Localisation: Saïda. Département: Sales. En tant que Chief Translator, vous serez amené à coordonner les processus.","Prime performance, Ticket Restaurant",28336,"Adaptability, Teamwork, Critical Thinking, Problem Solving, Time Management, Communication",2,12
Chem. Engineer,,Customer Success,Lead,20 March 2025,2025-05-23,2025-05-23,Marketing,Annaba,Bac,12,Stage,5,"Profil recherché (EN):
Responsabilités: Communication, Data Analysis
Profil: Java; Logistics; Cloud; Teamwork; Strategic Planning
Compétences:
- Strategic Planning
- UX/UI
Avantages:
- Blockchain
- Data Analysis
- SEO
- Technical Writing
- Graphic Design
","Télétravail partiel, Prime performance",55514,"Java, Network Security, SQL, Python, C++, Docker",1,7
Maintenance Tech,,Data Science,Senior,"Apr 25, 2025",2025-06-10,2025-06-10,Santé,Télétravail,Licence,16,Temporaire,10,"Profil recherché (MIX):
Responsabilités: Excel; Leadership
Profil: Compliance, Research
Compétences:
- Leadership
- Technical Writing
- Communication
Avantages: Cloud; Logistics; Graphic Design; Network Security; Coordination
",,31151,"Problem Solving, Time Management, Adaptability, Critical Thinking, Teamwork",5,12
Exec. Assistant,,IT Support,Chief,17 May 2024,2024-08-03,2024-08-03,Santé,Oran,Licence,16,Temps plein,1,"Expérience requise: 6-8 ans. Éducation: Licence, 16 ans. As Chief Exec. Assistant, you'll lead innovative projects. En tant que Chief Exec. Assistant, vous serez amené à développer les processus.","Télétravail partiel, Participation bénéfices, Voiture de fonction",35084,"Scheduling, Office Management, Customer Service, Data Entry",6,8
Digital Marketer,,Design,Mid,12 April 2025,2025-06-05,2025-06-05,RH,Annaba,Master,18,Alternance,3,"Profil recherché (MIX):
Responsabilités: Network Security; Organization; Teamwork; Coordination; Java
Profil: Customer Service, Digital Marketing, UX/UI, Research, Project Mgmt
Compétences: Negotiation; Data Analysis; Customer Service; Project Mgmt
Avantages:
- Budgeting
- Negotiation
- Cloud
",Prime performance,73473,"Cloud Computing, Python, C++, Docker, DevOps, Network Security",9,14
App Developer,,Design,Mid,24 January 2025,11 March 2025,2025-03-11,Juridique,Sétif,Master,18,Volontariat,10,"As Mid App Developer, you'll manage key projects. Contrat: Volontariat. Localisation: Sétif. Département: Operations. En tant que Mid App Developer, vous serez amené à gérer l’équipe.","Télétravail partiel, Assurance santé",50269,"DevOps, C++, Cloud Computing, Network Security",1,5
Data Scientist,,Design,Lead,"May 19, 2024",03 June 2024,2024-06-03,Finance,Ghardaïa,Doctorat,20,Temps plein,3,"Profil recherché (FR):
Responsabilités: Communication, UX/UI, Python
Profil: CAD, Python, Teamwork
Compétences: Blockchain; Machine Learning; Network Security
Avantages:
- Python
- Data Analysis
- Graphic Design
",Formation continue,58173,"Cloud Computing, SQL, Network Security, Python, Java",9,11
Legal Advisor,,Strategy,Lead,2025-04-01,20/04/2025,2025-04-20,Marketing,Hybride,None,0,Freelance,5,"Contrat: Freelance. Localisation: Hybride. Département: Marketing. En tant que Lead Legal Advisor, vous serez amené à superviser l’équipe. As Lead Legal Advisor, you'll perform innovative projects.",,53871,"Compliance, Litigation Support, Legal Research, Regulatory Affairs",10,15
Exec. Assistant,,Quality Assurance,Junior,23/03/2025,03/04/2025,2025-04-03,RH,Blida,None,0,Freelance,1,"Profil recherché (EN):
Responsabilités: Cloud; Negotiation; Budgeting; Digital Marketing; Graphic Design
Profil:
- Strategic Planning
- Technical Writing
- SEO
- Excel
Compétences:
- Teamwork
- Strategic Planning
- UX/UI
- Logistics
- Blockchain
Avantages: Communication, Customer Service, Research, SQL
",,47486,"Office Management, Customer Service, Document Control, Data Entry, Scheduling",2,6
Restaurant Manager,,Investor Relations,Chief,2025-02-09,2025-03-17,2025-03-17,Finance,Oran,Master,18,CDI,3,"Profil recherché (MIX):
Responsabilités: Strategic Planning; Python; Excel; Blockchain
Profil: Digital Marketing, Java
Compétences: Teamwork; Technical Writing
Avantages: Strategic Planning; Research
",,39224,"Logistics, Supply Chain Management, Process Optimization, Lean Management",0,0
CMO,,Procurement,Chief,2024-08-18,08/09/2024,2024-09-08,Santé,Annaba,Master,18,Alternance,2,"En tant que Chief CMO, vous serez amené à coordonner les systèmes. As Chief CMO, you'll lead innovative projects. Contrat: Alternance. Localisation: Annaba. Département: Sales.","Horaires flexibles, Voiture de fonction",39162,"Problem Solving, Teamwork, Adaptability, Critical Thinking, Time Management, Communication",2,10
UX Designer,,Training,Lead,2024-09-30,2024-11-05,2024-11-05,Santé,Tizi Ouzou,Master,18,Temps partiel,1,"Profil recherché (MIX):
Responsabilités: UX/UI; SQL; Blockchain; Negotiation
Profil:
- Organization
- Communication
Compétences: Technical Writing; Organization; Coordination; Compliance
Avantages: Java; Budgeting; UX/UI; Blockchain
",Formation continue,43561,"Illustrator, Prototyping, Adobe Photoshop, Figma",9,18
Software Engineer,,Administration,Senior,28/12/2024,2025-03-01,2025-03-01,Admin,Tizi Ouzou,Doctorat,20,CDD,5,"Profil recherché (MIX):
Responsabilités: Research, Organization, Logistics, Communication, Python
Profil:
- Network Security
- Research
Compétences:
- Machine Learning
- UX/UI
- Organization
Avantages: Customer Service, Excel, Blockchain, Project Mgmt, Technical Writing
","Prime performance, Formation continue",68472,"Python, Network Security, Machine Learning, SQL, Java, DevOps",10,17
Project Manager,,Logistics,Senior,27 January 2025,2025-02-14,2025-02-14,Admin,El Oued,Doctorat,20,Stage,1,"Profil recherché (EN):
Responsabilités: Teamwork, Compliance
Profil: CAD, Network Security, Budgeting
Compétences: UX/UI, CAD
Avantages:
- Budgeting
- Blockchain
",,68836,"Logistics, Quality Control, Inventory Control, Process Optimization, Lean Management",2,11
Cloud Architect,,Strategy,Junior,10/12/2024,17 January 2025,2025-01-17,RH,Ghardaïa,None,0,Temps partiel,10,"Expérience requise: 2-6 ans. Éducation: None, 0 ans. Contrat: Temps partiel. Localisation: Ghardaïa. Département: Marketing. As Junior Cloud Architect, you'll lead critical projects.","Télétravail partiel, Assurance santé, Ticket Restaurant",59355,"Cloud Computing, Network Security, DevOps, C++",2,6
Supply Chain Analyst,,Administration,Junior,"Sep 05, 2024",19 November 2024,2024-11-19,Juridique,Saïda,Bac,12,Alternance,2,"Expérience requise: 4-9 ans. Éducation: Bac, 12 ans. Contrat: Alternance. Localisation: Saïda. Département: Legal. En tant que Junior Supply Chain Analyst, vous serez amené à développer les processus.",Prime performance,58261,"Forecasting, Accounting, Risk Management, Audit, Financial Analysis",4,9
Researcher,,Logistics,Senior,27 November 2024,14 February 2025,2025-02-14,Marketing,Béjaïa,None,0,Freelance,1,"Profil recherché (FR):
Responsabilités: Machine Learning; Technical Writing; Customer Service; Graphic Design
Profil:
- Data Analysis
- Python
- SEO
- Negotiation
Compétences: UX/UI; Coordination; CAD; Communication; Project Mgmt
Avantages: CAD, Blockchain
",,43178,"Clinical Trials, Patient Care, Pharmacovigilance, HIPAA Compliance, Medical Terminology",5,7
Researcher,,Risk Management,Junior,02/12/2024,13/12/2024,2024-12-13,Logistique,Alger,Doctorat,20,Temporaire,10,"Profil recherché (MIX):
Responsabilités:
- Excel
- SEO
Profil:
- Negotiation
- Customer Service
- Machine Learning
- Project Mgmt
Compétences: Cloud; Graphic Design; Project Mgmt
Avantages: Coordination, UX/UI, CAD
",,58343,"Clinical Trials, HIPAA Compliance, Pharmacovigilance, Patient Care, Medical Terminology",10,20
PR Officer,,Logistics,Junior,"Jan 19, 2025",2025-02-03,2025-02-03,Marketing,Tlemcen,Master,18,Volontariat,5,"Contrat: Volontariat. Localisation: Tlemcen. Département: Marketing. En tant que Junior PR Officer, vous serez amené à superviser l’équipe. Expérience requise: 5-7 ans. Éducation: Master, 18 ans.",,58132,"Teamwork, Communication, Problem Solving, Critical Thinking, Adaptability",5,7
Content Writer,,Customer Success,Mid,2024-05-21,2024-07-30,2024-07-30,Ventes,Hybride,None,0,Alternance,3,"Expérience requise: 1-7 ans. Éducation: None, 0 ans. Contrat: Alternance. Localisation: Hybride. Département: Marketing. En tant que Mid Content Writer, vous serez amené à superviser l’équipe.",Participation bénéfices,57116,"SQL, Kubernetes, C++, Python, DevOps, Cloud Computing, Machine Learning",1,7
AI Ethics Consultant,,IT Support,Senior,29 December 2024,18 January 2025,2025-01-18,Marketing,Hybride,Master,18,Freelance,1,"As Senior AI Ethics Consultant, you'll lead strategic projects. Contrat: Freelance. Localisation: Hybride. Département: IT. Expérience requise: 9-15 ans. Éducation: Master, 18 ans.",,41700,"Adaptability, Critical Thinking, Problem Solving, Time Management, Communication, Teamwork",9,15
QA Engineer,,Public Relations,Junior,12/10/2024,17 November 2024,2024-11-17,Admin,Constantine,Doctorat,20,CDD,5,"Expérience requise: 5-13 ans. Éducation: Doctorat, 20 ans. As Junior QA Engineer, you'll perform key projects. En tant que Junior QA Engineer, vous serez amené à superviser les processus.","Horaires flexibles, Voiture de fonction",50097,"Machine Learning, Docker, Python, SQL",5,13
Risk Manager,,Logistics,Junior,"Mar 25, 2025",2025-06-14,2025-06-14,Logistique,Constantine,Licence,16,Temps partiel,3,"En tant que Junior Risk Manager, vous serez amené à superviser les processus. As Junior Risk Manager, you'll perform innovative projects. Contrat: Temps partiel. Localisation: Constantine. Département: Operations.","Assurance santé, Ticket Restaurant",36894,"Logistics, Supply Chain Management, Process Optimization, Lean Management, Inventory Control, Quality Control",4,14
Env. Consultant,,Product,Chief,08 July 2024,2024-08-27,2024-08-27,Finance,Hybride,Master,18,CDD,3,"Profil recherché (FR):
Responsabilités: Maintenance; Project Mgmt; Coordination; Python
Profil: Excel, Python, SQL
Compétences: Teamwork; Research
Avantages: SQL, Customer Service
","Formation continue, Assurance santé, Participation bénéfices",34211,"Problem Solving, Communication, Adaptability, Time Management",0,2
SEO Specialist,,Product,Chief,21 July 2024,03/09/2024,2024-09-03,Logistique,Béjaïa,Master,18,Volontariat,10,"Profil recherché (EN):
Responsabilités: Research, Blockchain, Maintenance
Profil: Communication, SQL
Compétences: Budgeting, Machine Learning, Organization, Teamwork, Digital Marketing
Avantages: SEO; Project Mgmt; SQL
",,62404,"Email Marketing, Social Media, Brand Management, Google Analytics, Content Strategy, Public Relations, SEO",8,13
Security Officer,,Compliance,Senior,"Aug 12, 2024",08/11/2024,2024-11-08,RH,Tlemcen,Master,18,Volontariat,2,"Contrat: Volontariat. Localisation: Tlemcen. Département: Marketing. As Senior Security Officer, you'll perform key projects. En tant que Senior Security Officer, vous serez amené à superviser l’équipe.","Participation bénéfices, Voiture de fonction, Télétravail partiel",63862,"DevOps, Kubernetes, C++, Cloud Computing",8,17
Volunteer Coord.,,IT Support,Lead,15 December 2024,26/12/2024,2024-12-26,Ingénierie,Hybride,Doctorat,20,Stage,2,"Profil recherché (FR):
Responsabilités: Project Mgmt; Leadership; Logistics
Profil:
- Graphic Design
- CAD
- SEO
Compétences: SEO, Digital Marketing, Data Analysis, Coordination
Avantages:
- Compliance
- Teamwork
- Leadership
- Machine Learning
- Budgeting
","Assurance santé, Ticket Restaurant",34661,"Problem Solving, Critical Thinking, Teamwork, Time Management",0,9
CTO,,Training,Chief,03 July 2024,2024-08-07,2024-08-07,Informatique,Constantine,None,0,Volontariat,2,"Contrat: Volontariat. Localisation: Constantine. Département: Finance. En tant que Chief CTO, vous serez amené à développer les systèmes. Expérience requise: 4-6 ans. Éducation: None, 0 ans.",Voiture de fonction,35509,"Critical Thinking, Problem Solving, Time Management, Communication, Adaptability, Teamwork",4,6
Bioengineer,,Logistics,Senior,"Jun 21, 2024",12/08/2024,2024-08-12,Admin,Tizi Ouzou,None,0,Volontariat,5,"Profil recherché (FR):
Responsabilités: Coordination, CAD, Communication, Budgeting
Profil: Research, Negotiation, Logistics, Java
Compétences: Organization, Logistics, Blockchain, Network Security
Avantages: Python, Coordination
",Prime performance,109566,"Cloud Computing, Java, DevOps, Machine Learning, SQL, Network Security",9,17
Accountant,,Strategy,Junior,"Jun 05, 2024",01/07/2024,2024-07-01,Juridique,Tlemcen,Master,18,Temps plein,5,"Expérience requise: 5-14 ans. Éducation: Master, 18 ans. As Junior Accountant, you'll manage innovative projects. Contrat: Temps plein. Localisation: Tlemcen. Département: IT.",,99651,"Investment Strategies, Forecasting, Accounting, Budgeting",5,14
IT Intern,,Research & Development,Chief,04 December 2024,24 February 2025,2025-02-24,RH,Annaba,Master,18,CDD,3,"Expérience requise: 5-10 ans. Éducation: Master, 18 ans. En tant que Chief IT Intern, vous serez amené à coordonner les systèmes. Contrat: CDD. Localisation: Annaba. Département: Finance.",Assurance santé,105233,"Network Security, Python, SQL, DevOps, Cloud Computing, Kubernetes, Machine Learning",5,10
Translator,,Logistics,Lead,21/09/2024,30 October 2024,2024-10-30,Finance,Sétif,None,0,Stage,10,"As Lead Translator, you'll lead critical projects. Expérience requise: 6-15 ans. Éducation: None, 0 ans. Contrat: Stage. Localisation: Sétif. Département: Legal.","Assurance santé, Participation bénéfices, Horaires flexibles",37214,"Critical Thinking, Problem Solving, Time Management, Adaptability, Communication, Teamwork",6,15
Data Engineer,,Technical Support,Mid,15/05/2024,13 August 2024,2024-08-13,Ingénierie,Hybride,Licence,16,CDI,1,"Profil recherché (EN):
Responsabilités:
- Logistics
- Communication
- Graphic Design
- Digital Marketing
Profil: Organization; Cloud
Compétences:
- Logistics
- Network Security
- UX/UI
- Communication
- Python
Avantages: CAD, Strategic Planning, Data Analysis, Leadership, Machine Learning
","Horaires flexibles, Prime performance, Télétravail partiel",102456,"C++, Cloud Computing, SQL, Python, Docker, Kubernetes, DevOps",4,12
Fashion Designer,,Public Relations,Chief,"Mar 06, 2025",21 March 2025,2025-03-21,Juridique,Tizi Ouzou,Licence,16,Temporaire,5,"Profil recherché (EN):
Responsabilités:
- Python
- Blockchain
- Graphic Design
Profil: Research, Customer Service, Project Mgmt, Digital Marketing
Compétences:
- SEO
- Communication
- Leadership
- Excel
- Teamwork
Avantages: Leadership, Logistics, Communication
",Formation continue,52735,"Typography, Prototyping, Illustrator, UX Research, Sketch, Adobe Photoshop, Color Theory",5,11
Maintenance Tech,,Procurement,Mid,"Oct 04, 2024",2024-12-26,2024-12-26,Marketing,Constantine,Bac,12,CDD,2,"As Mid Maintenance Tech, you'll design key projects. Expérience requise: 3-12 ans. Éducation: Bac, 12 ans. Contrat: CDD. Localisation: Constantine. Département: Operations.",,57203,"Critical Thinking, Time Management, Problem Solving, Communication",3,12
Env. Consultant,,Design,Junior,22 July 2024,14/10/2024,2024-10-14,Juridique,Constantine,Bac,12,Temps partiel,3,"Profil recherché (EN):
Responsabilités:
- Excel
- Graphic Design
- Negotiation
- Budgeting
- Technical Writing
Profil: Java; Teamwork; Cloud; Technical Writing
Compétences: Customer Service; SQL
Avantages: Teamwork; Digital Marketing; Leadership; Strategic Planning; Data Analysis
","Prime performance, Horaires flexibles",42793,"Problem Solving, Adaptability, Time Management, Critical Thinking, Teamwork, Communication",8,10
Civil Engineer,,Business Development,Junior,17/10/2024,12 December 2024,2024-12-12,Santé,Télétravail,None,0,Temps plein,2,"Contrat: Temps plein. Localisation: Télétravail. Département: Operations. As Junior Civil Engineer, you'll perform key projects. Expérience requise: 6-6 ans. Éducation: None, 0 ans.","Horaires flexibles, Voiture de fonction",63270,"Machine Learning, SQL, Docker, C++, Network Security",6,6
Recruiter,,Corporate Affairs,Junior,2024-12-02,2025-01-08,2025-01-08,Finance,Hybride,Licence,16,Temps partiel,3,"Profil recherché (FR):
Responsabilités:
- Communication
- Python
- CAD
Profil: Maintenance; Customer Service; Technical Writing; Machine Learning; Budgeting
Compétences: Python, Customer Service
Avantages: Excel, Digital Marketing, Leadership, Research
","Assurance santé, Prime performance",63579,"SQL, Python, Cloud Computing, DevOps, C++, Java, Network Security",9,9
Recruiter,,Procurement,Mid,21/10/2024,16 January 2025,2025-01-16,Santé,Ghardaïa,Doctorat,20,Alternance,10,"Profil recherché (EN):
Responsabilités: Negotiation; Customer Service; Budgeting; Maintenance
Profil:
- Customer Service
- Project Mgmt
- Communication
Compétences: Data Analysis; Network Security; Graphic Design; Teamwork; Project Mgmt
Avantages: Excel, Research
",,109191,"DevOps, Python, Docker, C++, Java, Network Security",2,4
Operations Manager,,Compliance,Junior,"Mar 30, 2025",21/06/2025,2025-06-21,Informatique,Hybride,Master,18,Freelance,5,"En tant que Junior Operations Manager, vous serez amené à gérer les systèmes. Contrat: Freelance. Localisation: Hybride. Département: Sales. Expérience requise: 2-9 ans. Éducation: Master, 18 ans.",,56037,"Quality Control, Process Optimization, Lean Management, Logistics, Supply Chain Management, Inventory Control",2,9
HR Coordinator,,Health & Safety,Junior,30/07/2024,2024-08-28,2024-08-28,Informatique,Constantine,Doctorat,20,CDI,1,"Profil recherché (MIX):
Responsabilités:
- Machine Learning
- Coordination
- Java
- Customer Service
- SEO
Profil: Coordination; Research; Data Analysis; Budgeting
Compétences: Coordination; Cloud; Communication
Avantages: SEO; Data Analysis
","Formation continue, Horaires flexibles, Prime performance",52036,"Payroll, Recruitment, Performance Management, Onboarding, Employee Relations, Training & Development",3,3
Network Admin,,Product,Lead,16/09/2024,17/10/2024,2024-10-17,Marketing,Ghardaïa,Doctorat,20,Volontariat,2,"Profil recherché (FR):
Responsabilités: Strategic Planning, Maintenance
Profil: Cloud, Network Security
Compétences: Logistics, UX/UI, Maintenance
Avantages: Negotiation; Teamwork; UX/UI; Research; Customer Service
",,116383,"Docker, C++, Python, Machine Learning, Network Security, SQL, Kubernetes",2,2
HR Coordinator,,Product,Junior,30 May 2024,2024-08-24,2024-08-24,Informatique,Sétif,Master,18,Freelance,2,"Profil recherché (MIX):
Responsabilités: Excel; Coordination; Network Security
Profil:
- Project Mgmt
- Negotiation
- Research
Compétences: Teamwork; Graphic Design; Strategic Planning; Research; Project Mgmt
Avantages: Digital Marketing; Cloud; Negotiation; Leadership
","Participation bénéfices, Horaires flexibles, Voiture de fonction",56275,"Onboarding, Performance Management, Training & Development, Employee Relations, Payroll, Recruitment",4,7
Legal Advisor,,Research & Development,Chief,"May 03, 2024",19 July 2024,2024-07-19,Marketing,Annaba,Master,18,Freelance,5,"En tant que Chief Legal Advisor, vous serez amené à superviser les processus. Expérience requise: 1-9 ans. Éducation: Master, 18 ans. As Chief Legal Advisor, you'll design key projects.",Ticket Restaurant,40006,"Contract Drafting, Litigation Support, Legal Research, Compliance, Negotiation, Regulatory Affairs",1,9
