employee_id,age,gender,job_title,department,experience_years,current_salary_dzd,skills
EMP44F7PW,49,Female,Eléctricien Bâtiment,Data Protection,3,71316,"Leadership, Teamwork, Piloting, Problem Solving"
EMPLVXBY6,26,Male,Chargé des Opérations,Procurement,4,55455,"Leadership, Communication, Dentistry"
EMPXXRCDB,42,Male,TRESORIER,Business Intelligence,5,55151,"Teamwork, Communication, Problem Solving, Time Management"
EMPEP6GZ0,50,Female,Agent Polyvalent,Quality Control,2,60941,"Leadership, Time Management, Leadership"
EMPJ56NNM,59,Female,Médecin généraliste urgentiste jour,Customer Experience,1,88125,"Communication, Leadership, Leadership"
EMP4JVQFE,22,Female,Pharmacien Directeur Technique,Data Protection,2,76919,"Leadership, Time Management, Teamwork"
EMPB38DWY,55,Male,Key Account Manager,Investor Relations,5,34861,"Leadership, Teamwork, Culinary Arts, Communication"
EMPZV4TBD,53,Male,Blender Product Designer,Quality Control,4,63683,"Leadership, Teamwork, Beekeeping, Piloting, Diving"
EMPKHIGU0,38,Male,Téléopérateur / Téléopératrice,Research & Development,3,62621,"Time Management, Leadership, Piloting, Photography"
EMP9U39VH,58,Male,Agent Commercial Polyvalent (H-F) Agence Souk Ahras,Investor Relations,2,55699,"Problem Solving, Communication, Woodworking, Woodworking, Problem Solving"
EMPAQIKYR,43,Female,Contrôleur Qualité (CDD),Procurement,2,51853,"Leadership, Time Management, Beekeeping, Culinary Arts"
EMPZ3L0JE,35,Female,Responsable d'exploitation,Investor Relations,8,93520,"Communication, Teamwork, Culinary Arts, Photography"
EMPYBHR20,58,Female,ACCOUNT MANAGER,Procurement,1,56682,"Time Management, Leadership, Woodworking"
EMPGVFXDQ,34,Male,Maintenancier Industriel en Automatisme,Data Protection,3,63481,"Time Management, Teamwork, Communication"
EMP7P1YTF,31,Female,Chargé d'Affaires (Ouargla),Procurement,3,58866,"Communication, Leadership, Diving"
EMPZEJKUG,48,Male,Chargé(e) Administration RH,Research & Development,4,58913,"Teamwork, Problem Solving, Woodworking"
EMPKB6VR7,45,Female,commercial,Research & Development,3,65785,"Problem Solving, Communication, Piloting"
EMP645AGV,55,Female,Office Manager,Public Relations,2,65518,"Communication, Time Management, Problem Solving"
EMP088RKM,25,Female,Expert environnemental et social,Innovation,5,75122,"Problem Solving, Time Management, Beekeeping, Photography"
EMPTYWR10,34,Male,Contrôleur de gestion Junior,Customer Experience,0,73542,"Problem Solving, Leadership, Beekeeping, Teamwork, Woodworking"
EMP24TF5R,54,Female,Directeur de production (H/F),Investor Relations,0,62384,"Time Management, Communication, Communication"
EMP0YAK56,47,Female,Ingénieur HVAC,Data Protection,8,80214,"Problem Solving, Teamwork, Teamwork"
EMP05FUF9,52,Female,Planificateur,Corporate Affairs,3,76203,"Problem Solving, Time Management, Woodworking, Leadership, Photography"
EMPB2Z6KP,51,Female,Assistant de directeur,Corporate Affairs,2,65537,"Time Management, Teamwork, Dentistry, Communication"
EMPTO6DG6,30,Male,Superviseur HSE,Data Protection,7,58525,"Problem Solving, Leadership, Woodworking, Diving"
EMPI7PRBS,58,Female,Graphiste,Health & Safety,3,65966,"Time Management, Communication, Culinary Arts, Communication"
EMPQT6RKS,59,Male,Directeur Général Automobile,Procurement,10,78065,"Time Management, Teamwork, Woodworking, Leadership"
EMPK6JY3I,59,Male,Assistant(e) du DG,Investor Relations,6,67912,"Problem Solving, Communication, Piloting"
EMP34L886,47,Female,Comptable / Gestionnaire financier,Business Intelligence,1,58049,"Communication, Time Management, Beekeeping, Communication"
EMPJGR9DF,30,Female,Commercial,Public Relations,13,80243,"Communication, Teamwork, Diving, Dentistry"
EMPUHUVXH,50,Male,Conducteur d'engin,Business Intelligence,6,50536,"Communication, Problem Solving, Problem Solving, Time Management"
EMP7F59HX,43,Male,BIM Coordinateur et Suivi de Chantier,Public Relations,12,83142,"Communication, Teamwork, Beekeeping"
EMP331ERL,55,Male,Juriste,Sustainability,4,75315,"Teamwork, Leadership, Woodworking"
EMPQNDK1Q,59,Female,DIRECTEUR COMMERCIAL,Quality Control,2,56107,"Communication, Time Management, Dentistry"
EMP41A5GG,42,Male,MENUISIER,Business Intelligence,6,56244,"Leadership, Teamwork, Photography"
EMPNNPMMT,31,Female,Ingénieur réseaux et sécurité,Quality Control,7,31577,"Problem Solving, Leadership, Time Management"
EMPPC5MZ6,26,Male,Planificateur de production,Sustainability,4,67962,"Time Management, Teamwork, Piloting, Time Management"
EMPN038KP,48,Female,Gestionnaire de copropriété,Quality Control,5,53224,"Leadership, Time Management, Diving"
EMPOU8OQZ,40,Male,Data Engineer,Sustainability,7,49120,"Teamwork, Communication, Diving"
EMPLRAB39,58,Female,SUPERVISEUR HSE,Sustainability,7,57570,"Problem Solving, Teamwork, Problem Solving"
EMPFX7F5B,35,Female,Vendeur(se) en Magasin,Investor Relations,6,33152,"Leadership, Problem Solving, Problem Solving"
EMP7J5D1P,23,Male,Administrateur des Bases de Données (DBA),Innovation,7,77137,"Teamwork, Problem Solving, Teamwork"
EMPER1UG4,26,Male,Délégué Conformité,Customer Experience,1,71147,"Communication, Teamwork, Culinary Arts, Time Management, Communication"
EMP5Q4MEF,47,Male,Opérateur Machine de Production (CDD),Public Relations,0,54462,"Problem Solving, Leadership, Woodworking, Photography, Woodworking"
EMPGQBV4I,22,Male,Chargé(e) d’Études Senior en Marketing,Public Relations,12,37909,"Communication, Time Management, Dentistry, Beekeeping, Dentistry"
EMPOY3KRA,24,Female,électro- mécanicien,Quality Control,4,60112,"Communication, Time Management, Woodworking, Time Management, Leadership"
EMPBUDGC0,53,Male,Gestionnaire de ressources humaines (H/F),Business Intelligence,1,65427,"Time Management, Communication, Beekeeping, Time Management"
EMP5VTZNM,57,Male,Technico-commercial,Data Protection,5,60922,"Teamwork, Communication, Woodworking, Photography"
EMPUDWDB2,49,Male,Technico Commercial,Health & Safety,4,76811,"Time Management, Leadership, Piloting, Piloting"
EMP77P1G7,44,Male,Manager Statistiques,Data Protection,1,59775,"Time Management, Problem Solving, Leadership"
EMPO8IYO5,40,Male,Superviseur production,Research & Development,3,65973,"Communication, Time Management, Photography, Problem Solving"
EMPHYXOE6,53,Male,Analyste Maintenance,Research & Development,3,75526,"Time Management, Teamwork, Beekeeping"
EMPTMKQWC,22,Male,chef patissier ,Investor Relations,2,51243,"Problem Solving, Teamwork, Culinary Arts, Woodworking"
EMPN46T3I,56,Female,Business Unit Manager,Research & Development,4,84984,"Communication, Time Management, Dentistry, Leadership, Problem Solving"
EMPA2DJR2,26,Female,Community manager,Quality Control,0,51906,"Teamwork, Time Management, Diving, Teamwork"
EMPMC3HU2,36,Female,CHARGE DE LA TRESORERIE,Innovation,0,52389,"Leadership, Communication, Beekeeping, Photography"
EMPCM4QN8,44,Male,Gestionnaire de stock,Corporate Affairs,1,74457,"Time Management, Problem Solving, Diving, Piloting"
EMP8U80XB,49,Female,Animateur Marché des entreprises (Corporate),Research & Development,7,84886,"Problem Solving, Teamwork, Photography, Beekeeping, Piloting"
EMPZLWN2G,30,Female,Chargé de recrutement,Procurement,2,68690,"Leadership, Time Management, Piloting, Problem Solving"
EMPNX3ZEW,28,Female,Chargée d’entreprise ( CE ),Investor Relations,2,57008,"Communication, Time Management, Piloting"
EMPF8TIX2,22,Male,Conseiller(e) Clientèle Corporate / Agence Oran 1,Research & Development,6,77341,"Problem Solving, Leadership, Culinary Arts, Photography, Communication"
EMP88OELQ,31,Male,Comptable,Quality Control,6,72406,"Leadership, Communication, Culinary Arts, Photography"
EMPSC1WLD,49,Male,conducteur machine de production boite métalliques ,Public Relations,4,77757,"Problem Solving, Leadership, Dentistry"
EMPRDKFMG,34,Female,Manager Statistiques,Innovation,4,72886,"Communication, Teamwork, Leadership"
EMPAJ7G2Z,54,Female,Guichetier Payeur ( H-F)  Oran Les Lions,Quality Control,2,66289,"Teamwork, Time Management, Communication"
EMPJJQ0ZU,51,Male,Responsable HSE,Procurement,4,59278,"Leadership, Time Management, Photography, Woodworking"
EMPACSIWX,30,Female,Directeur  d'hôtel,Research & Development,2,59230,"Communication, Teamwork, Beekeeping"
EMPHZSDRO,42,Female,Electromécanicien,Corporate Affairs,7,53384,"Teamwork, Leadership, Dentistry"
EMPLM1TZF,51,Male,Office Manager,Health & Safety,6,55951,"Leadership, Teamwork, Diving"
EMPSUBI16,56,Female,Coordinateur financier,Customer Experience,3,64824,"Time Management, Problem Solving, Problem Solving, Dentistry"
EMPQOOA6X,43,Female,BUSINESS CONTROLLER MAGHREB,Corporate Affairs,2,50325,"Time Management, Communication, Beekeeping, Piloting"
EMP2NJF5V,25,Female,commercial ,Public Relations,1,71935,"Communication, Teamwork, Time Management, Diving"
EMP3NKB43,56,Female,Comptables,Procurement,5,30082,"Problem Solving, Communication, Problem Solving"
EMPSN9QGT,23,Female,CONTROLEUR DE GESTION,Quality Control,10,85730,"Problem Solving, Leadership, Photography, Woodworking, Teamwork"
EMPQFT1GR,28,Male,Comptable,Corporate Affairs,2,63191,"Time Management, Communication, Teamwork, Time Management"
EMPGXI16R,55,Male,Responsable Commercial,Public Relations,7,28836,"Problem Solving, Teamwork, Problem Solving, Diving"
EMPHBDDF9,36,Male,Chargé de la clientèle,Innovation,6,59720,"Communication, Teamwork, Woodworking, Communication"
EMPYZB4RZ,53,Female,Commerciale,Sustainability,2,57575,"Communication, Teamwork, Dentistry, Piloting"
EMPSXSCVL,46,Male,Agent Commercial,Corporate Affairs,3,66860,"Problem Solving, Teamwork, Diving, Teamwork"
EMPD3KXRS,34,Male,"Chef de Service Qualité, Hygiène et Sécurité & Environnement (QHSE)",Investor Relations,7,60121,"Communication, Problem Solving, Beekeeping, Culinary Arts"
EMPQKBF4M,31,Male,Junior Brand Manager,Public Relations,1,74649,"Communication, Leadership, Dentistry, Teamwork, Communication"
EMP5RINAD,34,Male,Chargé(E) Commercial,Research & Development,3,73177,"Problem Solving, Time Management, Dentistry, Culinary Arts"
EMPH7VZ35,32,Female,Directeur commercial_ Mobilité électrique,Health & Safety,8,87765,"Teamwork, Time Management, Diving, Dentistry"
EMP61ZDGT,38,Female,Export manager,Business Intelligence,9,79873,"Leadership, Problem Solving, Problem Solving"
EMPZHU0V3,40,Male,Commercial(e) véhiculé(e),Data Protection,13,59962,"Time Management, Problem Solving, Dentistry, Beekeeping"
EMPN9H7N8,41,Female,Merchandiser (  Mila),Customer Experience,1,65211,"Leadership, Communication, Teamwork"
EMP9W5G9U,55,Male,Médecin de travail,Innovation,12,73390,"Teamwork, Communication, Problem Solving"
EMPK5ZOE5,33,Male,Blender Product Designer,Corporate Affairs,6,69458,"Time Management, Leadership, Diving, Leadership"
EMPSB0TFC,43,Male,Aide cuisinier,Procurement,4,61330,"Problem Solving, Time Management, Culinary Arts"
EMP2F03SB,43,Male,Commercial Terrain,Corporate Affairs,1,70944,"Communication, Leadership, Diving, Problem Solving"
EMP8GYREN,25,Male,Assistant(e) Commercial,Public Relations,4,68533,"Time Management, Teamwork, Photography, Culinary Arts"
EMP9679LL,26,Female,Technicien Industriel en Automatisation,Data Protection,7,31880,"Communication, Time Management, Culinary Arts"
EMPUDGW8N,45,Female,Gestionnaire  Ressources Humaines,Quality Control,7,60754,"Teamwork, Problem Solving, Teamwork, Dentistry"
EMPMHT1E7,40,Male,Chargée clientèle / réceptionniste,Investor Relations,6,52966,"Time Management, Communication, Problem Solving"
EMPDWKUIH,24,Male,National Logistics Senior Manager,Sustainability,4,78008,"Time Management, Communication, Culinary Arts, Culinary Arts"
EMPW3BNNY,29,Female,Trade Marketing Specialist,Research & Development,3,62778,"Teamwork, Problem Solving, Woodworking"
EMP1SXQQF,30,Female,Stagiaire infographiste,Health & Safety,1,46850,"Teamwork, Communication, Diving, Dentistry"
EMPXUL1CH,31,Female,Instrument Senior Engineer,Procurement,2,81918,"Communication, Problem Solving, Culinary Arts"
EMPJ2SJC6,48,Female,Comptable,Health & Safety,6,70736,"Time Management, Leadership, Piloting, Photography"
EMPHHW69G,32,Female,Acheteur/ MGX,Research & Development,1,73352,"Time Management, Teamwork, Leadership, Time Management"
EMPVJ7S19,25,Female,Commercial / Démarcheur,Data Protection,4,59909,"Problem Solving, Communication, Problem Solving, Teamwork"
EMPLIHZPH,25,Male,Responsable Electricité et Automatisme,Procurement,4,68274,"Communication, Leadership, Leadership"
EMP62YPZ9,57,Male,Responsable Etudes & Pilotage Qualité-(H/F)-Alger,Research & Development,10,38584,"Problem Solving, Communication, Piloting"
EMPFJR0RW,28,Female,femme de ménage ,Data Protection,3,50125,"Communication, Teamwork, Leadership"
EMPZC3A4J,54,Female,Chargé Marketing Corporate,Business Intelligence,7,37103,"Problem Solving, Communication, Beekeeping, Woodworking"
EMPE9P7I9,43,Female,Stage en pharmacie - Horraires du soir,Quality Control,1,27376,"Communication, Leadership, Problem Solving, Time Management"
EMPLBMRYR,36,Male,EHS Business consultant,Corporate Affairs,7,66204,"Problem Solving, Teamwork, Culinary Arts, Teamwork"
EMPMUC3H5,59,Male,Coursier Moto ( avec sa propre moto ),Innovation,1,47397,"Problem Solving, Teamwork, Photography, Culinary Arts"
EMPXDVER0,60,Female,Directeur National de Vente,Quality Control,10,92200,"Leadership, Communication, Culinary Arts, Time Management"
EMPCF1B1E,55,Female,Supply Chain Manager,Corporate Affairs,4,80678,"Time Management, Teamwork, Piloting"
EMP1BNSTD,28,Female,Superviseur des Ventes (HORECA),Customer Experience,7,73699,"Leadership, Communication, Photography, Diving"
EMPAT148W,34,Female,Responsable Business Développement,Business Intelligence,6,71681,"Leadership, Time Management, Culinary Arts, Diving, Communication"
EMPGCMW1T,35,Male,Comptable,Research & Development,2,51267,"Time Management, Problem Solving, Diving, Teamwork"
EMPPSLD1A,48,Female,Chef de Dépôt,Corporate Affairs,7,56228,"Communication, Time Management, Beekeeping"
EMPX2YWL7,53,Male,Call center agent,Sustainability,3,59080,"Leadership, Teamwork, Diving"
EMPGSEO9X,49,Female,GESTIONNAIRE DES RESSSOURCES HUMAINES,Investor Relations,2,67480,"Teamwork, Time Management, Photography, Time Management, Diving"
EMP9B4MMR,51,Female,Technicien de préparation,Procurement,2,67144,"Leadership, Communication, Time Management"
EMPHSDU0G,45,Female,Caissier,Investor Relations,6,61029,"Problem Solving, Leadership, Beekeeping"
EMP6JERYZ,56,Female,Analyste IT,Data Protection,2,53429,"Leadership, Time Management, Culinary Arts, Beekeeping"
EMPNHAHGG,41,Male,Responsable Gestion des Stocks,Research & Development,10,79386,"Leadership, Problem Solving, Photography"
EMPX1TMW4,45,Female,Juriste Senior,Sustainability,11,81719,"Leadership, Teamwork, Photography, Woodworking, Problem Solving"
EMPIB18NP,23,Female,Tax technician,Research & Development,6,71531,"Communication, Time Management, Dentistry, Time Management, Leadership"
EMPQVZIEI,41,Female,Responsable Juridique,Investor Relations,2,33204,"Teamwork, Leadership, Culinary Arts"
EMPG0GSL6,27,Male,Responsable achat,Corporate Affairs,2,56969,"Communication, Problem Solving, Piloting, Dentistry"
EMPYF4BJ9,53,Female,Infographe,Research & Development,6,69109,"Leadership, Teamwork, Photography, Problem Solving"
EMP3AS938,48,Male, Commercial,Innovation,2,48961,"Problem Solving, Leadership, Time Management"
EMPN7SAZ9,38,Male,Agent Commercial,Procurement,3,52924,"Leadership, Communication, Time Management"
EMP68K8ET,22,Female,Agent de Dédouanement,Research & Development,2,61578,"Problem Solving, Leadership, Photography, Leadership"
EMPW2YWHP,42,Male,Techniciens réparateurs de machines à coudre industrielle,Customer Experience,2,60886,"Communication, Leadership, Time Management"
EMPIET3XJ,33,Male,Contrôleur des operations,Investor Relations,4,75567,"Communication, Teamwork, Piloting, Leadership"
EMPI2ARKM,40,Female,Chargé d'Etudes,Corporate Affairs,0,27485,"Teamwork, Communication, Beekeeping, Diving"
EMPN19ADF,46,Female,Chargé des Opérations,Quality Control,1,52888,"Time Management, Teamwork, Woodworking, Woodworking"
EMPRXLOI9,59,Female,Chef du parc Roulant,Public Relations,2,75424,"Teamwork, Communication, Photography"
EMP5X2QQ7,44,Female,DIRECTEUR COMMERCIAL,Sustainability,4,72402,"Problem Solving, Teamwork, Dentistry, Diving"
EMPT2AMYI,37,Female,Community Manager,Procurement,1,71091,"Problem Solving, Leadership, Culinary Arts, Leadership"
EMPY4TZ3N,33,Male,Sous directeur Trésorerie,Research & Development,6,67042,"Time Management, Communication, Leadership, Culinary Arts"
EMPACG8TL,53,Female,Commercial itinérant,Procurement,2,61721,"Communication, Teamwork, Piloting, Communication"
EMPJEYWKX,40,Female,Steward,Public Relations,2,68478,"Problem Solving, Teamwork, Diving, Photography"
EMPIYZ4WA,48,Female,Ingénieur en Informatique - Bases de Données et Applications,Innovation,1,65152,"Problem Solving, Leadership, Time Management"
EMP4BDFWX,52,Female,Agent de polyvalent,Research & Development,1,42264,"Problem Solving, Teamwork, Problem Solving, Photography"
EMPWESHUM,28,Female,Finance and Accounting Manager,Sustainability,6,74655,"Teamwork, Communication, Culinary Arts, Time Management"
EMPGXQVL3,52,Male,Merchandiser,Health & Safety,7,73658,"Problem Solving, Teamwork, Dentistry, Woodworking, Culinary Arts"
EMP1N6BOH,27,Male,Pré-vendeur ,Business Intelligence,3,75975,"Leadership, Communication, Diving, Teamwork"
EMP55KOCY,45,Male,Agent Polyvalent,Innovation,2,47547,"Communication, Problem Solving, Problem Solving"
EMPMLEW9R,52,Female,Directeur de site de production - Bouira,Investor Relations,9,93861,"Communication, Problem Solving, Photography, Time Management"
EMPCOIPZS,46,Female,Chef de Compte Secteur (Délégué Commercial),Investor Relations,2,70950,"Teamwork, Communication, Diving, Teamwork"
EMPVVBD14,52,Female,Analyste physico-chimie,Corporate Affairs,4,58971,"Problem Solving, Time Management, Diving, Piloting"
EMP6TIJFD,54,Male,Technicien SAV,Procurement,4,61856,"Problem Solving, Time Management, Diving, Photography"
EMP7D7WIM,39,Male,conseillère  clientèle,Business Intelligence,4,66884,"Communication, Problem Solving, Dentistry"
EMPOLI87Z,25,Male,Visiteur Pharmaceutique (M'sila),Procurement,12,60293,"Leadership, Problem Solving, Beekeeping, Diving"
EMPYYQA6H,56,Female,Chef d'Atelier Activités Automotive,Business Intelligence,10,65950,"Problem Solving, Teamwork, Culinary Arts"
EMPJP8C8I,57,Male,Chef d'équipe transport,Quality Control,1,55394,"Time Management, Communication, Woodworking, Photography, Teamwork"
EMPDCCVDE,33,Female,Analyste Risk Reporting,Health & Safety,6,68089,"Communication, Time Management, Diving, Dentistry"
EMP63SG4F,57,Female,Chargé de la prospections et des ventes commercial,Research & Development,6,41337,"Time Management, Problem Solving, Leadership"
EMP2WD9NK,32,Female,INSPECTEUR HSE,Data Protection,3,53888,"Leadership, Communication, Beekeeping"
EMP0IUDFD,57,Female,Chef de Projet Industriel,Research & Development,1,82098,"Communication, Teamwork, Culinary Arts, Teamwork"
EMP0MCUWV,57,Female,Graphic Designer,Corporate Affairs,2,62645,"Time Management, Teamwork, Woodworking, Teamwork"
EMPM1IKUU,54,Male,Chargée d'Accueil et d'Orientation,Data Protection,7,54699,"Problem Solving, Teamwork, Culinary Arts"
EMPKRWP0A,48,Female,Chargé de la facturation & recouvrement pour la direction des régions,Innovation,5,32672,"Leadership, Problem Solving, Problem Solving, Time Management"
EMPKM8H1P,50,Female,Ingénieur Intégration ERP & Interfaces,Data Protection,6,76724,"Teamwork, Communication, Teamwork"
EMP6HNJLP,57,Female,Architecte-Designer,Health & Safety,5,80901,"Teamwork, Leadership, Piloting, Culinary Arts"
EMPZQCX8X,34,Female,Opérateur Sur Machine,Public Relations,2,66299,"Time Management, Communication, Problem Solving"
EMP1DCU1N,24,Female,Cadre Comptable & Financier,Corporate Affairs,4,59504,"Time Management, Communication, Culinary Arts"
EMP5JH80U,58,Female,Assistante du Directeur Général,Health & Safety,5,74876,"Time Management, Problem Solving, Piloting, Culinary Arts"
EMPYZZEJG,25,Female,Field maintenance & readiness Engineer ( Constantine),Procurement,5,71116,"Leadership, Teamwork, Diving, Communication"
EMPVX8LUT,53,Male,HR development officer,Procurement,5,30426,"Teamwork, Problem Solving, Dentistry, Problem Solving"
EMPM76MXA,60,Female,Conseiller Clientèle Corporate / Skikda,Research & Development,2,58336,"Leadership, Problem Solving, Diving, Photography"
EMP4M45BH,54,Male,Approvisionneur Senior,Investor Relations,5,72672,"Time Management, Communication, Piloting, Piloting, Leadership"
EMPCIQTVU,42,Female,Chargé Communication et Marketing,Procurement,2,64940,"Leadership, Communication, Dentistry"
EMPJJKWL2,29,Male,Assistant(e) commerciale,Investor Relations,7,31523,"Communication, Problem Solving, Dentistry, Diving"
EMPYTQ736,26,Male,IBDA Graduate Program (Ingénieur en Génie mécanique ou électrotechnique),Sustainability,2,68923,"Time Management, Problem Solving, Diving"
EMPIVVP1A,57,Female,Commeriale,Sustainability,2,75109,"Teamwork, Leadership, Diving"
EMPG4A1ZD,31,Male,Operateur de production pharmaceutique,Public Relations,4,73898,"Communication, Leadership, Piloting"
EMPPDV0X8,27,Female,Visiteur Médical ( Alger Ouest et Tipaza),Quality Control,4,80649,"Problem Solving, Communication, Culinary Arts"
EMP6T0239,30,Male,Medical Representative,Corporate Affairs,2,53678,"Communication, Time Management, Culinary Arts, Dentistry"
EMP41M5FQ,47,Female,Key Account Manager,Quality Control,3,62599,"Leadership, Time Management, Diving, Leadership"
EMPTL0RT1,43,Female,Ingénieur en Électromécanique,Corporate Affairs,4,74218,"Leadership, Time Management, Dentistry, Communication"
EMPERAMU4,60,Male,Gestionnaire Ressources Humaines,Procurement,7,81017,"Communication, Leadership, Photography"
EMP7HNW78,31,Male,Superviseur (OLC),Health & Safety,12,84516,"Problem Solving, Leadership, Beekeeping"
EMPRZKZ9Q,54,Male,Chargé  des Ventes  produits Eléctroménager,Innovation,2,51683,"Communication, Leadership, Teamwork, Woodworking"
EMPIWLAXB,50,Female,Garde de sécurité,Quality Control,6,59352,"Leadership, Teamwork, Beekeeping"
EMP5YJEUL,23,Female,Contrôleur de  Gestion,Investor Relations,1,76500,"Time Management, Problem Solving, Culinary Arts, Culinary Arts"
EMPL8MJ2A,46,Male,REF/ EST/231224 SUPERVISEURS Véhiculés,Investor Relations,6,54666,"Problem Solving, Teamwork, Dentistry"
EMPSKJV8M,30,Male,Manager / Responsable  Département Procédés et DCS,Sustainability,10,70615,"Leadership, Communication, Beekeeping, Time Management"
EMPFO5VFA,39,Female,Export manager,Customer Experience,12,86324,"Teamwork, Time Management, Time Management, Problem Solving"
EMPU8CANY,57,Male,Développeurs programmes,Quality Control,3,64557,"Problem Solving, Communication, Woodworking, Time Management"
EMPVYDWLO,33,Female,électricien industriel,Business Intelligence,6,62506,"Problem Solving, Time Management, Dentistry, Woodworking"
EMPJ2M1BS,54,Female,Correspondant Social,Corporate Affairs,1,55036,"Leadership, Time Management, Time Management"
EMP4RKOQY,43,Male,Commercial B to B pour cabinet de recrutement,Public Relations,2,63408,"Time Management, Teamwork, Diving"
EMPI60VYC,59,Male,Web Manager,Procurement,6,66153,"Time Management, Problem Solving, Communication, Piloting"
EMPYHKFXW,47,Male,Aide magasinier,Data Protection,1,58439,"Problem Solving, Teamwork, Photography, Dentistry"
EMPC43ZCQ,60,Male,Vendeur Sportif omni-commerçant,Corporate Affairs,2,63074,"Leadership, Time Management, Culinary Arts"
EMPOZACTW,40,Female,Opérateur Production,Public Relations,0,51240,"Problem Solving, Time Management, Leadership, Beekeeping"
EMP7T6VUK,36,Female,Commercial H/F,Research & Development,12,58080,"Time Management, Problem Solving, Problem Solving"
EMPH2BDO1,44,Male,Techniciens,Procurement,6,63024,"Leadership, Communication, Diving, Beekeeping"
EMPCTQVMQ,25,Female,Administrateur Achats,Research & Development,4,70075,"Time Management, Problem Solving, Leadership"
EMP7OKFGO,33,Male,Directeur opérations,Public Relations,8,72523,"Problem Solving, Communication, Culinary Arts, Beekeeping, Teamwork"
EMP1GHM8O,28,Female,Chargé d’Affaires Véhiculé | (H/F)  Mostaganem,Data Protection,5,52374,"Time Management, Communication, Photography, Beekeeping, Culinary Arts"
EMPLXRR34,40,Male,Téléconseillère,Procurement,2,49151,"Leadership, Problem Solving, Leadership, Time Management"
EMPEU9662,50,Female,Agent Vacataire (H-F),Innovation,2,34855,"Teamwork, Problem Solving, Piloting, Teamwork, Diving"
EMP7TVX2V,28,Male,TS Management Qualité,Customer Experience,1,69000,"Communication, Time Management, Culinary Arts"
EMP9OTS12,42,Male,Gestionnaire de stock,Procurement,7,60927,"Leadership, Time Management, Dentistry"
EMP0TJ9T2,29,Female,Ingénieur Infrastructure,Health & Safety,10,81200,"Communication, Time Management, Diving"
EMPFS2BUS,41,Female,PHARMACIEN(NE) DIRECTEUR TECHNIQUE,Data Protection,0,80929,"Communication, Teamwork, Time Management"
EMPC1Z49D,43,Female,MINUISIERS,Investor Relations,0,52133,"Leadership, Time Management, Beekeeping, Piloting"
EMP0Q8B24,23,Female,Comptable,Business Intelligence,6,68771,"Problem Solving, Time Management, Beekeeping, Diving"
EMP3PKNP4,54,Male,Architecte,Procurement,7,79277,"Communication, Time Management, Diving, Communication"
EMP4YZUI8,37,Male,Chargé des Approvisionnements,Public Relations,6,70974,"Time Management, Problem Solving, Beekeeping"
EMPF82THL,32,Female,Internal Control IT Professional,Corporate Affairs,11,82282,"Time Management, Teamwork, Piloting, Teamwork"
EMPGBE2H2,38,Female,Chargé(e) d’Études Senior en Marketing,Corporate Affairs,2,39562,"Problem Solving, Teamwork, Culinary Arts, Diving"
EMPFF1XDE,47,Male,Merchandiser ( TLEMCEN),Customer Experience,2,56288,"Time Management, Communication, Woodworking"
EMPW8CVH9,31,Female,Account Manager PME,Health & Safety,4,67320,"Leadership, Communication, Diving, Dentistry"
EMPFW7HXH,56,Female,Ingénieur Coût et Planning,Business Intelligence,5,62420,"Teamwork, Leadership, Diving, Beekeeping"
EMPGNELLY,24,Female,RESPONSABLE QUALITÉ,Investor Relations,15,38189,"Communication, Time Management, Woodworking"
EMPV9XXIG,28,Male,Masseuse / Coiffeuse,Investor Relations,4,56186,"Leadership, Time Management, Diving, Communication"
EMPL69GD2,35,Female,Assistant(e) du DG,Procurement,2,61389,"Time Management, Problem Solving, Dentistry, Photography, Diving"
EMPDZ4KK6,35,Female,Vendeur en Pharmacie (H/F),Innovation,0,32674,"Time Management, Problem Solving, Culinary Arts, Photography"
EMPHR5YFZ,52,Female,Responsable de la Promotion,Corporate Affairs,13,101073,"Communication, Time Management, Diving, Dentistry"
EMPMFYPMP,23,Female,Comptable (H/F) – Croissant-Rouge Algérien,Sustainability,5,72875,"Leadership, Problem Solving, Culinary Arts"
EMPI50CCG,27,Male,Manager export,Quality Control,5,81865,"Time Management, Communication, Culinary Arts, Problem Solving, Time Management"
EMP6OLKMM,37,Female,CHARGE DU SOCIAL,Data Protection,2,49819,"Teamwork, Communication, Photography, Time Management"
EMPRL4G33,47,Female,Infographiste Débutant,Sustainability,0,62076,"Teamwork, Problem Solving, Diving, Communication"
EMPGQWXIR,36,Female,Cadre d'études Management  Intégré,Quality Control,4,74245,"Leadership, Teamwork, Culinary Arts, Beekeeping"
EMPAOTRH8,29,Male,Linux Administrator,Public Relations,6,76376,"Communication, Leadership, Woodworking"
EMPMOTG8T,42,Female,Technicien Supérieur en Maintenance (Électromécanicien),Business Intelligence,7,72787,"Teamwork, Time Management, Dentistry, Photography"
EMP7ZXLIT,56,Female,Livreurs en Motocycle,Sustainability,3,64536,"Time Management, Teamwork, Communication, Leadership"
EMPU86X4T,52,Male,Architecte études CES  et Conducteur de travaux,Research & Development,11,86648,"Leadership, Problem Solving, Leadership"
EMPK7E83F,24,Male,Juriste Senior,Innovation,12,58508,"Teamwork, Leadership, Piloting, Communication"
EMPOYKMKN,46,Female,Contrôleur Qualité,Public Relations,5,73970,"Problem Solving, Teamwork, Teamwork, Communication"
