skills,experience,salary,location,job_interest,sector,education_level,job_id
"Project Management, AutoCAD, Design, MATLAB, SolidWorks, Blueprint Reading",7,58907,Tizi Ouzou,Engineering,Engineering,No Formal Education,10773
"Django, Python, Git",7,89293,Relizane,Software Engineering,Information Technology,Master's,10774
"Soil Testing, Tractor Operation, Pest Control, Irrigation, Crop Management, Agro-tech",5,114681,Tlemcen,Agriculture,Agriculture,No Formal Education,10775
"Firewalls, Ethical Hacking, SIEM, Forensics, Penetration Testing, Network Security",1,60855,Algiers,Cybersecurity,Information Technology,Ingénieur,10776
"Photoshop, UI/UX, Graphic Design, 3D Modeling, Creativity, Illustrator",2,136400,Oran,Art & Design,Creative,Master's,10777
"SIEM, Forensics, Network Security, Firewalls",3,149165,M'Sila,Cybersecurity,Information Technology,Ingénieur,10778
"Copywriting, SEO, Content Creation, Social Media, Analytics",3,89947,Annaba,Marketing,Business,Doctorate,10779
"Litigation, Contracts, Negotiation, Regulatory Compliance, Case Management",2,184117,Tipaza,Legal,Legal,Technical Diploma,10780
"Auditing, Risk Management, Budgeting, Excel",8,105198,Annaba,Finance,Business,No Formal Education,10781
"AutoCAD, SolidWorks, Blueprint Reading",13,137023,Tizi Ouzou,Engineering,Engineering,High School,10782
"Spring, Django, SQL, JavaScript",13,136207,Biskra,Software Engineering,Information Technology,Bachelor's,10783
"Spring, C++, JavaScript",4,137022,Chlef,Software Engineering,Information Technology,No Formal Education,10784
"Fleet Management, Supply Chain, Routing, Inventory Management",2,59817,Tizi Ouzou,Logistics,Supply Chain,Bachelor's,10785
"Network Security, Forensics, SIEM, Firewalls, Ethical Hacking, Penetration Testing",1,141530,Chlef,Cybersecurity,Information Technology,Bachelor's,10786
"Data Visualization, TensorFlow, Statistics, Machine Learning, SQL, R",1,36580,Chlef,Data Science,Information Technology,Master's,10787
"SolidWorks, Design, Blueprint Reading",4,78528,Tipaza,Engineering,Engineering,Doctorate,10788
"CPR, EMR, Patient Care, Medical Terminology, Phlebotomy, Anatomy",1,76197,Tizi Ouzou,Healthcare,Health,No Formal Education,10789
"Litigation, Contracts, Case Management, Negotiation, Regulatory Compliance, Legal Research",6,89936,Sidi Bel Abbès,Legal,Legal,Ingénieur,10790
"Supply Chain, Fleet Management, Inventory Management",5,83247,Tipaza,Logistics,Supply Chain,Ingénieur,10791
"Firewalls, SIEM, Network Security, Ethical Hacking",4,171665,Sidi Bel Abbès,Cybersecurity,Information Technology,No Formal Education,10792
"Phlebotomy, Patient Care, EMR, Medical Terminology",3,121074,Bordj Bou Arreridj,Healthcare,Health,No Formal Education,10793
"Curriculum Design, Classroom Management, E-Learning, Teaching",1,83684,Constantine,Education,Education,No Formal Education,10794
"MATLAB, Project Management, Design",9,92968,M'Sila,Engineering,Engineering,Master's,10795
"Carpentry, Safety Procedures, Site Management, Masonry, Blueprint Reading, Plumbing",3,108481,Mostaganem,Construction,Construction,Ingénieur,10796
"Node.js, React, CSS, WordPress, Responsive Design, HTML",8,61356,M'Sila,Web Development,Information Technology,Bachelor's,10797
"Routing, Inventory Management, Fleet Management",1,86057,Bordj Bou Arreridj,Logistics,Supply Chain,Bachelor's,10798
"REST, Python, Git",1,73911,Tipaza,Software Engineering,Information Technology,No Formal Education,10799
"Copywriting, Google Ads, SEO",12,133402,Batna,Marketing,Business,Technical Diploma,10800
"CRM, Customer Service, Sales Forecasting, Cold Calling, Negotiation",8,125027,Tlemcen,Sales,Business,No Formal Education,10801
"Python, Django, JavaScript, Java",5,65542,Annaba,Software Engineering,Information Technology,Technical Diploma,10802
"Reservation Systems, Customer Service, Food Safety, Front Desk",3,144406,Biskra,Hospitality,Tourism & Hospitality,No Formal Education,10803
"Social Media, Branding, SEO, Content Creation",4,134280,Relizane,Marketing,Business,Technical Diploma,10804
"Contracts, Regulatory Compliance, Litigation",4,97682,Tlemcen,Legal,Legal,Bachelor's,10805
"Crop Management, Pest Control, Soil Testing",3,179077,Ghardaia,Agriculture,Agriculture,Bachelor's,10806
"Fleet Management, Supply Chain, Warehouse Ops, Routing, Inventory Management",1,172387,Biskra,Logistics,Supply Chain,High School,10807
"Front Desk, Reservation Systems, Customer Service, Food Safety, Event Planning",7,119406,Tlemcen,Hospitality,Tourism & Hospitality,No Formal Education,10808
"AutoCAD, MATLAB, SolidWorks",1,60274,Biskra,Engineering,Engineering,High School,10809
"Teaching, Curriculum Design, E-Learning",4,149091,Tlemcen,Education,Education,Ingénieur,10810
"REST, Python, Java, Spring, C++, Git",1,109459,Blida,Software Engineering,Information Technology,Technical Diploma,10811
"Inventory Management, Fleet Management, Supply Chain",1,120821,Tlemcen,Logistics,Supply Chain,Master's,10812
"Investment, Excel, Budgeting",1,127151,Blida,Finance,Business,Doctorate,10813
"Creativity, UI/UX, 3D Modeling, Photoshop",1,164568,Algiers,Art & Design,Creative,Doctorate,10814
"Scripting, Windows Server, Virtualization",3,102945,Skikda,System Administration,Information Technology,Bachelor's,10815
"TensorFlow, Pandas, Python, SQL, R",1,60388,Tlemcen,Data Science,Information Technology,Ingénieur,10816
"Security, Virtualization, Networking, Windows Server, Scripting, Linux",8,54385,Bordj Bou Arreridj,System Administration,Information Technology,Doctorate,10817
"CSS, React, Responsive Design",7,78116,Blida,Web Development,Information Technology,Doctorate,10818
"CSS, React, JavaScript, Node.js, Responsive Design, HTML",2,47635,Biskra,Web Development,Information Technology,Bachelor's,10819
"Illustrator, 3D Modeling, Photoshop, UI/UX, Creativity, Graphic Design",5,121030,Blida,Art & Design,Creative,Master's,10820
"Scripting, Security, Linux",1,78831,Batna,System Administration,Information Technology,High School,10821
"Design, Blueprint Reading, SolidWorks, AutoCAD, MATLAB, Project Management",2,123993,Batna,Engineering,Engineering,Technical Diploma,10822
"Case Management, Negotiation, Litigation",12,88517,Batna,Legal,Legal,Technical Diploma,10823
"Fleet Management, Inventory Management, Routing, Warehouse Ops",6,99006,Sidi Bel Abbès,Logistics,Supply Chain,Technical Diploma,10824
"Analytics, Branding, Copywriting, Content Creation, Social Media, Google Ads",1,76995,Mostaganem,Marketing,Business,Ingénieur,10825
"Network Security, SIEM, Penetration Testing",9,162110,Mostaganem,Cybersecurity,Information Technology,No Formal Education,10826
"Pandas, Statistics, R, Machine Learning, TensorFlow, Python",3,66831,Oran,Data Science,Information Technology,Ingénieur,10827
"Crop Management, Soil Testing, Pest Control, Tractor Operation, Irrigation, Agro-tech",1,106686,Constantine,Agriculture,Agriculture,Technical Diploma,10828
"Phlebotomy, CPR, Medical Terminology, Patient Care",9,56516,Setif,Healthcare,Health,Technical Diploma,10829
"Masonry, Carpentry, Plumbing",12,70246,Blida,Construction,Construction,No Formal Education,10830
"TensorFlow, Machine Learning, Statistics, Pandas, R",1,116844,Sidi Bel Abbès,Data Science,Information Technology,No Formal Education,10831
"Negotiation, Contracts, Legal Research, Case Management, Regulatory Compliance, Litigation",8,145428,Tlemcen,Legal,Legal,Ingénieur,10832
"Responsive Design, WordPress, JavaScript, React, HTML, CSS",10,45453,Bejaia,Web Development,Information Technology,Ingénieur,10833
"WordPress, JavaScript, Node.js, React, CSS",2,103007,Chlef,Web Development,Information Technology,Master's,10834
"Investment, Budgeting, Accounting, Auditing, Excel, Risk Management",7,76535,Ouargla,Finance,Business,No Formal Education,10835
"Irrigation, Pest Control, Tractor Operation, Crop Management, Soil Testing, Agro-tech",2,63659,Sidi Bel Abbès,Agriculture,Agriculture,Ingénieur,10836
"Pandas, Python, Machine Learning, SQL",1,50415,Tlemcen,Data Science,Information Technology,Doctorate,10837
"CSS, HTML, React, Responsive Design, WordPress",5,51120,Blida,Web Development,Information Technology,Doctorate,10838
"Graphic Design, UI/UX, Creativity, Photoshop, Illustrator, 3D Modeling",2,100674,M'Sila,Art & Design,Creative,High School,10839
"Teaching, Mentoring, Curriculum Design, Classroom Management",2,50646,Sidi Bel Abbès,Education,Education,No Formal Education,10840
"SIEM, Forensics, Penetration Testing",4,83216,Sidi Bel Abbès,Cybersecurity,Information Technology,Master's,10841
"Linux, Networking, Scripting",1,71423,Biskra,System Administration,Information Technology,High School,10842
"Customer Service, Food Safety, Front Desk, Reservation Systems, Event Planning",1,160769,Mostaganem,Hospitality,Tourism & Hospitality,High School,10843
"Mentoring, Curriculum Design, E-Learning",3,43863,Tlemcen,Education,Education,Master's,10844
"Assessment, Curriculum Design, Mentoring",1,67386,Biskra,Education,Education,Ingénieur,10845
"Virtualization, Networking, Windows Server, Security, Scripting, Linux",10,98539,Skikda,System Administration,Information Technology,High School,10846
"Customer Service, Reservation Systems, Front Desk, Food Safety",5,105247,Algiers,Hospitality,Tourism & Hospitality,Technical Diploma,10847
"Scripting, Linux, Security",9,83950,Biskra,System Administration,Information Technology,Technical Diploma,10848
"Food Safety, Front Desk, Customer Service, Reservation Systems, Event Planning",11,64425,Tipaza,Hospitality,Tourism & Hospitality,Ingénieur,10849
"Django, SQL, REST, Java, JavaScript",12,158354,Tipaza,Software Engineering,Information Technology,No Formal Education,10850
"Network Security, Penetration Testing, SIEM, Forensics",7,62741,Oran,Cybersecurity,Information Technology,Technical Diploma,10851
"EMR, Medical Terminology, Anatomy",4,101418,Tipaza,Healthcare,Health,Doctorate,10852
"MATLAB, AutoCAD, Blueprint Reading, Project Management, Design, SolidWorks",10,131375,Batna,Engineering,Engineering,High School,10853
"Irrigation, Tractor Operation, Crop Management",1,56738,Oran,Agriculture,Agriculture,Master's,10854
"Network Security, SIEM, Ethical Hacking, Forensics",2,150767,Bejaia,Cybersecurity,Information Technology,Bachelor's,10855
"Event Planning, Reservation Systems, Food Safety",1,137639,Tipaza,Hospitality,Tourism & Hospitality,Bachelor's,10856
"Assessment, Classroom Management, E-Learning, Mentoring",3,112062,Skikda,Education,Education,No Formal Education,10857
"JavaScript, CSS, Responsive Design, WordPress",1,140612,Setif,Web Development,Information Technology,Doctorate,10858
"Phlebotomy, CPR, Patient Care, EMR, Anatomy",8,58807,Algiers,Healthcare,Health,Bachelor's,10859
"Accounting, Budgeting, Risk Management, Financial Analysis, Excel, Auditing",1,109809,Batna,Finance,Business,No Formal Education,10860
"Auditing, Excel, Risk Management, Investment",2,129497,Ouargla,Finance,Business,Master's,10861
"Tractor Operation, Irrigation, Soil Testing, Pest Control, Agro-tech, Crop Management",3,83357,Algiers,Agriculture,Agriculture,Master's,10862
"Project Management, AutoCAD, SolidWorks, Design",1,173328,Algiers,Engineering,Engineering,Ingénieur,10863
"Virtualization, Security, Scripting, Linux, Windows Server, Networking",1,129124,M'Sila,System Administration,Information Technology,Bachelor's,10864
"Agro-tech, Pest Control, Soil Testing, Crop Management, Irrigation, Tractor Operation",1,137273,Annaba,Agriculture,Agriculture,Technical Diploma,10865
"Java, JavaScript, Python",4,49067,Setif,Software Engineering,Information Technology,No Formal Education,10866
"Regulatory Compliance, Case Management, Legal Research, Litigation, Negotiation",8,77959,Tlemcen,Legal,Legal,Master's,10867
"Tractor Operation, Crop Management, Agro-tech, Soil Testing, Pest Control",1,81569,Skikda,Agriculture,Agriculture,Ingénieur,10868
"Masonry, Blueprint Reading, Site Management, Carpentry, Safety Procedures",8,91061,Sidi Bel Abbès,Construction,Construction,High School,10869
"Customer Service, Front Desk, Event Planning",3,108780,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,Doctorate,10870
"Auditing, Risk Management, Excel, Financial Analysis",1,61880,Bejaia,Finance,Business,No Formal Education,10871
"Safety Procedures, Carpentry, Plumbing",1,100836,Chlef,Construction,Construction,Master's,10872
"Mentoring, Teaching, Classroom Management",6,45995,Mostaganem,Education,Education,Doctorate,10873
"Illustrator, Graphic Design, 3D Modeling, Creativity, Photoshop, UI/UX",1,122063,Setif,Art & Design,Creative,High School,10874
"Assessment, Curriculum Design, E-Learning",3,131819,Annaba,Education,Education,High School,10875
"Firewalls, Ethical Hacking, Forensics, Network Security, SIEM",5,69490,Constantine,Cybersecurity,Information Technology,Doctorate,10876
"Financial Analysis, Accounting, Excel, Investment, Budgeting",4,93125,Blida,Finance,Business,High School,10877
"JavaScript, CSS, React",8,77669,Skikda,Web Development,Information Technology,No Formal Education,10878
"Data Visualization, R, Python, Statistics, SQL, TensorFlow",2,187585,Setif,Data Science,Information Technology,No Formal Education,10879
"Branding, Google Ads, Content Creation, Analytics, Copywriting, Social Media",2,76075,Ouargla,Marketing,Business,Bachelor's,10880
"C++, REST, Git, Java, JavaScript",1,94211,Constantine,Software Engineering,Information Technology,Ingénieur,10881
"Lead Generation, Cold Calling, Negotiation, Sales Forecasting, CRM, Customer Service",5,90566,Constantine,Sales,Business,High School,10882
"Medical Terminology, Phlebotomy, EMR, CPR, Patient Care, Anatomy",3,93469,Bejaia,Healthcare,Health,No Formal Education,10883
"Windows Server, Security, Virtualization, Linux, Scripting",1,125276,Mostaganem,System Administration,Information Technology,High School,10884
"Mentoring, Classroom Management, Assessment, E-Learning",6,70724,Tizi Ouzou,Education,Education,No Formal Education,10885
"Anatomy, Patient Care, EMR, CPR, Phlebotomy, Medical Terminology",9,177775,Ouargla,Healthcare,Health,High School,10886
"Assessment, Curriculum Design, Teaching, Classroom Management",4,72510,Batna,Education,Education,Doctorate,10887
"Investment, Accounting, Excel, Auditing, Financial Analysis",3,54350,Annaba,Finance,Business,No Formal Education,10888
"Machine Learning, R, SQL",6,52680,Sidi Bel Abbès,Data Science,Information Technology,Master's,10889
"Reservation Systems, Front Desk, Customer Service, Food Safety, Event Planning",5,106848,Annaba,Hospitality,Tourism & Hospitality,High School,10890
"Front Desk, Food Safety, Customer Service, Reservation Systems",15,135814,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,No Formal Education,10891
"Responsive Design, Node.js, WordPress, CSS, JavaScript, React",1,89418,M'Sila,Web Development,Information Technology,Technical Diploma,10892
"SEO, Google Ads, Branding, Social Media, Analytics",7,91644,Bordj Bou Arreridj,Marketing,Business,Doctorate,10893
"Anatomy, Phlebotomy, Patient Care, CPR, EMR, Medical Terminology",7,73821,Tipaza,Healthcare,Health,Ingénieur,10894
"Blueprint Reading, Project Management, AutoCAD, SolidWorks, Design",1,122966,Bejaia,Engineering,Engineering,Bachelor's,10895
"Pandas, R, Statistics, Python, Data Visualization, TensorFlow",8,84544,Blida,Data Science,Information Technology,Bachelor's,10896
"Blueprint Reading, Site Management, Plumbing, Masonry, Carpentry",7,80058,Constantine,Construction,Construction,No Formal Education,10897
"Sales Forecasting, Cold Calling, Lead Generation",2,107945,Mostaganem,Sales,Business,Bachelor's,10898
"Irrigation, Agro-tech, Soil Testing, Crop Management",1,69761,Chlef,Agriculture,Agriculture,Ingénieur,10899
"Customer Service, Front Desk, Food Safety, Event Planning",3,131571,Setif,Hospitality,Tourism & Hospitality,Technical Diploma,10900
"Masonry, Carpentry, Plumbing, Site Management, Safety Procedures",6,62215,Algiers,Construction,Construction,Bachelor's,10901
"JavaScript, CSS, React, HTML, Responsive Design",13,105528,Bordj Bou Arreridj,Web Development,Information Technology,Technical Diploma,10902
"Fleet Management, Inventory Management, Supply Chain",10,66315,Tipaza,Logistics,Supply Chain,High School,10903
"JavaScript, Node.js, Responsive Design, WordPress",8,190080,Constantine,Web Development,Information Technology,Ingénieur,10904
"Patient Care, CPR, Anatomy",1,48019,Biskra,Healthcare,Health,Doctorate,10905
"Forensics, Firewalls, Ethical Hacking, SIEM, Penetration Testing",1,129043,Batna,Cybersecurity,Information Technology,Ingénieur,10906
"Creativity, Photoshop, Illustrator, 3D Modeling",3,136005,Bejaia,Art & Design,Creative,Master's,10907
"Case Management, Regulatory Compliance, Contracts, Litigation, Negotiation",8,90401,Batna,Legal,Legal,Master's,10908
"Reservation Systems, Front Desk, Event Planning, Food Safety",2,142085,Skikda,Hospitality,Tourism & Hospitality,Bachelor's,10909
"Machine Learning, SQL, TensorFlow",1,84187,Ghardaia,Data Science,Information Technology,No Formal Education,10910
"Pandas, Statistics, R, Machine Learning, Python",1,147478,Relizane,Data Science,Information Technology,No Formal Education,10911
"Litigation, Negotiation, Regulatory Compliance, Contracts, Legal Research",1,74424,Annaba,Legal,Legal,No Formal Education,10912
"Windows Server, Scripting, Linux, Virtualization",5,101094,Bejaia,System Administration,Information Technology,No Formal Education,10913
"Regulatory Compliance, Negotiation, Case Management",1,120221,Tizi Ouzou,Legal,Legal,Doctorate,10914
"Illustrator, Photoshop, 3D Modeling, Graphic Design, UI/UX",1,65158,Batna,Art & Design,Creative,Technical Diploma,10915
"Financial Analysis, Risk Management, Excel",9,155439,Chlef,Finance,Business,High School,10916
"Security, Networking, Linux, Scripting, Virtualization",10,81437,Setif,System Administration,Information Technology,Bachelor's,10917
"Supply Chain, Fleet Management, Inventory Management",1,168083,Tlemcen,Logistics,Supply Chain,Master's,10918
"Regulatory Compliance, Case Management, Contracts",1,82586,Blida,Legal,Legal,Doctorate,10919
"Mentoring, Assessment, Curriculum Design, E-Learning, Classroom Management, Teaching",1,43336,Tizi Ouzou,Education,Education,Ingénieur,10920
"Sales Forecasting, Negotiation, Lead Generation, Cold Calling, CRM",4,132455,Bordj Bou Arreridj,Sales,Business,Ingénieur,10921
"WordPress, JavaScript, React",6,109653,Bejaia,Web Development,Information Technology,Bachelor's,10922
"Irrigation, Agro-tech, Crop Management, Soil Testing",2,164725,Oran,Agriculture,Agriculture,No Formal Education,10923
"Graphic Design, Photoshop, UI/UX, Creativity",1,50323,Relizane,Art & Design,Creative,Master's,10924
"Social Media, Content Creation, Google Ads, Copywriting, SEO",4,131056,Oran,Marketing,Business,Bachelor's,10925
"Branding, Analytics, Copywriting, SEO, Google Ads, Social Media",5,49898,Chlef,Marketing,Business,Ingénieur,10926
"Customer Service, Event Planning, Front Desk, Food Safety, Reservation Systems",7,55791,Ouargla,Hospitality,Tourism & Hospitality,Technical Diploma,10927
"Virtualization, Linux, Security, Networking, Windows Server",11,138943,Tizi Ouzou,System Administration,Information Technology,Doctorate,10928
"Git, Django, SQL, Spring",3,161282,Biskra,Software Engineering,Information Technology,Doctorate,10929
"Machine Learning, Statistics, Python",12,111117,Ghardaia,Data Science,Information Technology,No Formal Education,10930
"Event Planning, Customer Service, Front Desk, Reservation Systems, Food Safety",11,167258,Chlef,Hospitality,Tourism & Hospitality,Master's,10931
"Food Safety, Event Planning, Reservation Systems, Customer Service",1,71811,Algiers,Hospitality,Tourism & Hospitality,Ingénieur,10932
"Reservation Systems, Front Desk, Customer Service, Event Planning",2,172900,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,Master's,10933
"Irrigation, Agro-tech, Tractor Operation",11,94437,Relizane,Agriculture,Agriculture,Master's,10934
"Tractor Operation, Crop Management, Agro-tech",1,128528,Batna,Agriculture,Agriculture,No Formal Education,10935
"Front Desk, Reservation Systems, Food Safety, Event Planning, Customer Service",5,138555,Relizane,Hospitality,Tourism & Hospitality,Bachelor's,10936
"Machine Learning, TensorFlow, R",4,101934,Batna,Data Science,Information Technology,Bachelor's,10937
"Ethical Hacking, Penetration Testing, Firewalls, Network Security",2,117527,Bordj Bou Arreridj,Cybersecurity,Information Technology,Ingénieur,10938
"Auditing, Budgeting, Accounting, Excel, Investment",3,123010,Biskra,Finance,Business,Master's,10939
"Python, JavaScript, Java, C++, Git",6,134138,Mostaganem,Software Engineering,Information Technology,Bachelor's,10940
"E-Learning, Assessment, Mentoring, Classroom Management, Teaching",12,83367,M'Sila,Education,Education,Doctorate,10941
"UI/UX, Photoshop, 3D Modeling",6,37928,Ghardaia,Art & Design,Creative,High School,10942
"CSS, WordPress, Responsive Design, Node.js",9,41567,Tlemcen,Web Development,Information Technology,No Formal Education,10943
"Virtualization, Linux, Scripting",10,79464,Chlef,System Administration,Information Technology,Doctorate,10944
"Litigation, Contracts, Legal Research",2,175370,Chlef,Legal,Legal,No Formal Education,10945
"Case Management, Legal Research, Negotiation, Litigation, Contracts, Regulatory Compliance",3,102733,Annaba,Legal,Legal,High School,10946
"Assessment, Classroom Management, E-Learning, Mentoring, Curriculum Design",6,129280,Tlemcen,Education,Education,High School,10947
"Plumbing, Carpentry, Site Management, Blueprint Reading, Masonry",4,121897,Chlef,Construction,Construction,Bachelor's,10948
"Routing, Fleet Management, Supply Chain, Inventory Management, Warehouse Ops",2,64683,Tlemcen,Logistics,Supply Chain,Ingénieur,10949
"JavaScript, Responsive Design, WordPress",4,151913,Setif,Web Development,Information Technology,Bachelor's,10950
"Branding, Copywriting, Analytics, Social Media",1,68581,Batna,Marketing,Business,Master's,10951
"Soil Testing, Crop Management, Tractor Operation, Pest Control",1,101472,Biskra,Agriculture,Agriculture,Ingénieur,10952
"Java, Django, SQL, REST, C++",6,43557,Tizi Ouzou,Software Engineering,Information Technology,Bachelor's,10953
"Sales Forecasting, CRM, Cold Calling",2,88959,Bordj Bou Arreridj,Sales,Business,No Formal Education,10954
"Customer Service, Negotiation, Cold Calling, Sales Forecasting",8,52034,Chlef,Sales,Business,Ingénieur,10955
"Tractor Operation, Agro-tech, Crop Management, Irrigation, Soil Testing, Pest Control",2,39027,Tipaza,Agriculture,Agriculture,Master's,10956
"Copywriting, Content Creation, SEO, Branding",4,45733,Algiers,Marketing,Business,Ingénieur,10957
"Network Security, SIEM, Penetration Testing, Forensics",5,125997,Biskra,Cybersecurity,Information Technology,Ingénieur,10958
"Customer Service, Reservation Systems, Food Safety, Event Planning, Front Desk",1,132045,Mostaganem,Hospitality,Tourism & Hospitality,Doctorate,10959
"Investment, Risk Management, Financial Analysis, Accounting",2,110983,Blida,Finance,Business,High School,10960
"Front Desk, Event Planning, Customer Service",6,66623,Oran,Hospitality,Tourism & Hospitality,Technical Diploma,10961
"Pandas, Statistics, SQL, Data Visualization, Python",10,80347,Batna,Data Science,Information Technology,Technical Diploma,10962
"SQL, TensorFlow, Statistics, Pandas",1,67858,Setif,Data Science,Information Technology,No Formal Education,10963
"Soil Testing, Agro-tech, Pest Control, Tractor Operation",9,141222,Ouargla,Agriculture,Agriculture,High School,10964
"Regulatory Compliance, Negotiation, Legal Research, Litigation, Contracts, Case Management",2,108059,Algiers,Legal,Legal,Ingénieur,10965
"Networking, Scripting, Linux, Security, Windows Server",1,90354,Tipaza,System Administration,Information Technology,No Formal Education,10966
"Scripting, Windows Server, Networking",6,65443,Annaba,System Administration,Information Technology,No Formal Education,10967
"Site Management, Carpentry, Plumbing",8,167733,Algiers,Construction,Construction,High School,10968
"Cold Calling, Lead Generation, Customer Service",7,122656,Tipaza,Sales,Business,Master's,10969
"Firewalls, Forensics, SIEM, Penetration Testing, Ethical Hacking",1,72706,Oran,Cybersecurity,Information Technology,No Formal Education,10970
"Sales Forecasting, Negotiation, CRM",6,134633,Bejaia,Sales,Business,Ingénieur,10971
"Mentoring, Assessment, Teaching, E-Learning, Curriculum Design",4,116714,Ghardaia,Education,Education,Technical Diploma,10972
"CPR, EMR, Anatomy, Patient Care, Medical Terminology, Phlebotomy",1,159707,Chlef,Healthcare,Health,Bachelor's,10973
"Penetration Testing, Firewalls, Network Security",1,162441,Ouargla,Cybersecurity,Information Technology,High School,10974
"Graphic Design, UI/UX, Photoshop",9,88255,Relizane,Art & Design,Creative,Ingénieur,10975
"Classroom Management, Curriculum Design, E-Learning, Mentoring, Assessment, Teaching",2,122217,Mostaganem,Education,Education,Technical Diploma,10976
"Litigation, Regulatory Compliance, Legal Research, Negotiation",1,99660,Skikda,Legal,Legal,Technical Diploma,10977
"Inventory Management, Supply Chain, Warehouse Ops, Fleet Management",7,60001,Constantine,Logistics,Supply Chain,Ingénieur,10978
"Negotiation, Sales Forecasting, CRM",8,97856,Algiers,Sales,Business,Technical Diploma,10979
"Design, Blueprint Reading, MATLAB",2,102037,Tlemcen,Engineering,Engineering,Master's,10980
"Agro-tech, Tractor Operation, Soil Testing, Pest Control, Irrigation",6,84956,Sidi Bel Abbès,Agriculture,Agriculture,Master's,10981
"UI/UX, Creativity, Photoshop, Graphic Design",6,66843,Bordj Bou Arreridj,Art & Design,Creative,No Formal Education,10982
"HTML, CSS, JavaScript, Responsive Design, Node.js, React",15,105878,Setif,Web Development,Information Technology,Master's,10983
"Illustrator, Graphic Design, Photoshop",6,100887,Skikda,Art & Design,Creative,Doctorate,10984
"Sales Forecasting, Cold Calling, Lead Generation, Customer Service, CRM",4,70429,Blida,Sales,Business,High School,10985
"3D Modeling, Creativity, Photoshop, Graphic Design",3,39802,Skikda,Art & Design,Creative,Technical Diploma,10986
"Medical Terminology, CPR, Anatomy",6,65669,Bejaia,Healthcare,Health,Master's,10987
"Django, SQL, Spring, Git",2,163744,Ouargla,Software Engineering,Information Technology,Ingénieur,10988
"TensorFlow, Machine Learning, Pandas, Python, Data Visualization, SQL",5,105534,Setif,Data Science,Information Technology,No Formal Education,10989
"Contracts, Negotiation, Legal Research",2,127952,M'Sila,Legal,Legal,Doctorate,10990
"Copywriting, SEO, Analytics, Branding, Google Ads",11,72889,Annaba,Marketing,Business,Master's,10991
"Analytics, Branding, Google Ads",15,162995,Bordj Bou Arreridj,Marketing,Business,Technical Diploma,10992
"WordPress, HTML, JavaScript, Node.js",4,92067,Tipaza,Web Development,Information Technology,No Formal Education,10993
"Project Management, AutoCAD, SolidWorks, Design, Blueprint Reading, MATLAB",4,68737,Relizane,Engineering,Engineering,No Formal Education,10994
"Pest Control, Tractor Operation, Agro-tech, Irrigation, Crop Management, Soil Testing",1,78161,Mostaganem,Agriculture,Agriculture,Technical Diploma,10995
"WordPress, Responsive Design, CSS, Node.js, JavaScript, React",3,112492,Batna,Web Development,Information Technology,No Formal Education,10996
"Anatomy, Phlebotomy, Patient Care, CPR, Medical Terminology, EMR",2,73919,Algiers,Healthcare,Health,No Formal Education,10997
"React, Node.js, Responsive Design, JavaScript, CSS",2,60978,Relizane,Web Development,Information Technology,Doctorate,10998
"Creativity, Graphic Design, 3D Modeling, Photoshop, Illustrator",6,82378,Blida,Art & Design,Creative,Bachelor's,10999
"Event Planning, Front Desk, Customer Service, Reservation Systems, Food Safety",3,77006,Relizane,Hospitality,Tourism & Hospitality,High School,11000
"Git, JavaScript, Spring, C++",7,138047,Ouargla,Software Engineering,Information Technology,High School,11001
"AutoCAD, Project Management, Design, Blueprint Reading, MATLAB, SolidWorks",3,161071,M'Sila,Engineering,Engineering,Doctorate,11002
"Copywriting, Content Creation, Social Media",3,63040,Relizane,Marketing,Business,Bachelor's,11003
"Carpentry, Safety Procedures, Site Management",3,75985,Oran,Construction,Construction,No Formal Education,11004
"AutoCAD, Blueprint Reading, Project Management, Design, SolidWorks, MATLAB",1,143417,Tlemcen,Engineering,Engineering,Doctorate,11005
"Supply Chain, Inventory Management, Routing, Warehouse Ops",4,175984,Tlemcen,Logistics,Supply Chain,Doctorate,11006
"Scripting, Windows Server, Linux",14,74217,Oran,System Administration,Information Technology,Master's,11007
"Content Creation, Copywriting, Google Ads",4,136430,Setif,Marketing,Business,High School,11008
"Auditing, Accounting, Excel",1,112128,Ouargla,Finance,Business,Master's,11009
"CSS, Responsive Design, Node.js, React",6,42912,Bordj Bou Arreridj,Web Development,Information Technology,Technical Diploma,11010
"AutoCAD, SolidWorks, Blueprint Reading",2,148941,Bordj Bou Arreridj,Engineering,Engineering,Master's,11011
"Mentoring, E-Learning, Teaching, Classroom Management, Curriculum Design",1,162689,Tlemcen,Education,Education,Bachelor's,11012
"Assessment, Curriculum Design, Mentoring",3,124320,Chlef,Education,Education,Ingénieur,11013
"UI/UX, Photoshop, Creativity",3,47566,Bordj Bou Arreridj,Art & Design,Creative,No Formal Education,11014
"Food Safety, Event Planning, Reservation Systems, Customer Service, Front Desk",4,174159,Blida,Hospitality,Tourism & Hospitality,High School,11015
"Event Planning, Food Safety, Reservation Systems, Front Desk, Customer Service",14,45632,Oran,Hospitality,Tourism & Hospitality,Ingénieur,11016
"Spring, Java, REST",14,132379,Annaba,Software Engineering,Information Technology,No Formal Education,11017
