skills,experience,salary,location,job_interest,sector,education_level,job_id,Approximate Years of Education,education_years,job_type
"Risk Management, Budgeting, Investment",5,72837,Constantine,Finance,Business,No Formal Education,11180,0.0,0,Full-time
"Teaching, Classroom Management, Assessment, Curriculum Design, Mentoring",4,98690,Blida,Education,Education,High School,11181,9.0,12,Full-time
"Curriculum Design, Assessment, E-Learning, Teaching, Mentoring",14,153875,Skikda,Education,Education,Ingénieur,11182,17.0,17,Full-time
"Sales Forecasting, Cold Calling, Lead Generation, Customer Service",3,108027,Skikda,Sales,Business,Ingénieur,11183,17.0,17,Full-time
"Risk Management, Budgeting, Financial Analysis, Excel, Accounting",13,102298,Batna,Finance,Business,Ingénieur,11184,17.0,17,Full-time
"EMR, Phlebotomy, Patient Care, Anatomy, CPR",1,87334,Tizi Ouzou,Healthcare,Health,Ingénieur,11185,17.0,17,Full-time
"Negotiation, Lead Generation, Sales Forecasting, Cold Calling",10,107543,Bejaia,Sales,Business,Ingénieur,11186,17.0,17,Full-time
"Graphic Design, Photoshop, Illustrator, UI/UX",1,156263,Tizi Ouzou,Art & Design,Creative,Master's,11187,17.0,17,Full-time
"E-Learning, Classroom Management, Teaching",2,79064,Chlef,Education,Education,Bachelor's,11188,12.0,15,Full-time
"MATLAB, Project Management, AutoCAD, SolidWorks",12,60106,M'Sila,Engineering,Engineering,No Formal Education,11189,0.0,0,Full-time
"SQL, C++, Spring, Java",4,116887,Chlef,Software Engineering,Information Technology,Bachelor's,11190,12.0,15,Full-time
"CRM, Negotiation, Customer Service, Cold Calling",14,71284,M'Sila,Sales,Business,Technical Diploma,11191,,14,Full-time
"Case Management, Contracts, Legal Research, Negotiation, Litigation",3,92220,Batna,Legal,Legal,High School,11192,9.0,12,Full-time
"SolidWorks, Blueprint Reading, AutoCAD, MATLAB",2,47282,Tizi Ouzou,Engineering,Engineering,Bachelor's,11193,12.0,15,Full-time
"E-Learning, Mentoring, Classroom Management, Curriculum Design",3,108393,Batna,Education,Education,Doctorate,11194,20.0,20,Full-time
"Photoshop, Illustrator, UI/UX, Creativity",1,101740,M'Sila,Art & Design,Creative,High School,11195,9.0,12,Full-time
"Budgeting, Accounting, Auditing, Excel, Investment, Financial Analysis",4,52819,Annaba,Finance,Business,Technical Diploma,11196,,14,Full-time
"CPR, EMR, Medical Terminology",2,157795,Relizane,Healthcare,Health,No Formal Education,11197,0.0,0,Full-time
"Customer Service, Food Safety, Reservation Systems, Front Desk, Event Planning",10,82710,Tipaza,Hospitality,Tourism & Hospitality,No Formal Education,11198,0.0,0,Full-time
"Forensics, Network Security, Penetration Testing",3,96306,Bejaia,Cybersecurity,Information Technology,Doctorate,11199,20.0,20,Full-time
"Masonry, Blueprint Reading, Safety Procedures",2,85993,Annaba,Construction,Construction,Doctorate,11200,20.0,20,Full-time
"JavaScript, C++, Python",1,100533,Sidi Bel Abbès,Software Engineering,Information Technology,Bachelor's,11201,12.0,15,Full-time
"Django, Spring, C++",10,88184,M'Sila,Software Engineering,Information Technology,Technical Diploma,11202,,14,Full-time
"Teaching, Curriculum Design, E-Learning, Mentoring",8,125267,Biskra,Education,Education,Technical Diploma,11203,,14,Full-time
"WordPress, React, HTML, Responsive Design",2,52462,Ghardaia,Web Development,Information Technology,Master's,11204,17.0,17,Full-time
"Windows Server, Networking, Linux, Virtualization, Scripting, Security",1,86930,Blida,System Administration,Information Technology,Bachelor's,11205,12.0,15,Full-time
"Tractor Operation, Soil Testing, Crop Management",3,143181,Blida,Agriculture,Agriculture,No Formal Education,11206,0.0,0,Full-time
"Warehouse Ops, Fleet Management, Routing, Inventory Management",4,152267,Bejaia,Logistics,Supply Chain,Bachelor's,11207,12.0,15,Full-time
"MATLAB, SolidWorks, AutoCAD, Design",2,177942,Oran,Engineering,Engineering,Technical Diploma,11208,,14,Full-time
"Fleet Management, Supply Chain, Inventory Management, Routing",13,125180,Relizane,Logistics,Supply Chain,Doctorate,11209,20.0,20,Full-time
"Photoshop, 3D Modeling, Illustrator, UI/UX, Creativity",15,73575,Batna,Art & Design,Creative,Doctorate,11210,20.0,20,Full-time
"Plumbing, Masonry, Carpentry, Safety Procedures, Blueprint Reading, Site Management",14,88969,Skikda,Construction,Construction,Doctorate,11211,20.0,20,Full-time
"Soil Testing, Tractor Operation, Pest Control, Agro-tech",5,88788,Constantine,Agriculture,Agriculture,No Formal Education,11212,0.0,0,Full-time
"Assessment, Curriculum Design, Teaching, Mentoring, Classroom Management",1,62155,Biskra,Education,Education,No Formal Education,11213,0.0,0,Full-time
"SQL, Java, JavaScript",9,104943,M'Sila,Software Engineering,Information Technology,Ingénieur,11214,17.0,17,Full-time
"Soil Testing, Tractor Operation, Irrigation, Agro-tech, Pest Control, Crop Management",4,85762,Bejaia,Agriculture,Agriculture,Bachelor's,11215,12.0,15,Full-time
"Blueprint Reading, AutoCAD, SolidWorks",1,107547,Tlemcen,Engineering,Engineering,Doctorate,11216,20.0,20,Full-time
"E-Learning, Mentoring, Curriculum Design, Classroom Management, Teaching",5,164734,Algiers,Education,Education,High School,11217,9.0,12,Full-time
"Mentoring, Curriculum Design, Assessment, Classroom Management, Teaching",1,70112,Constantine,Education,Education,Bachelor's,11218,12.0,15,Full-time
"Windows Server, Virtualization, Linux, Networking, Security",1,171936,Tlemcen,System Administration,Information Technology,High School,11219,9.0,12,Full-time
"Penetration Testing, SIEM, Network Security",2,148121,Sidi Bel Abbès,Cybersecurity,Information Technology,Technical Diploma,11220,,14,Full-time
"Windows Server, Security, Linux, Virtualization, Scripting",1,82755,Setif,System Administration,Information Technology,Doctorate,11221,20.0,20,Full-time
"Data Visualization, SQL, Statistics, Machine Learning",13,111388,Tlemcen,Data Science,Information Technology,Ingénieur,11222,17.0,17,Full-time
"CRM, Sales Forecasting, Cold Calling, Lead Generation, Negotiation",9,84897,Ghardaia,Sales,Business,Ingénieur,11223,17.0,17,Full-time
"Regulatory Compliance, Litigation, Case Management, Negotiation, Legal Research",15,83743,M'Sila,Legal,Legal,Technical Diploma,11224,,14,Full-time
"Reservation Systems, Customer Service, Food Safety",2,178296,Oran,Hospitality,Tourism & Hospitality,No Formal Education,11225,0.0,0,Full-time
"Content Creation, Analytics, Social Media, Branding",7,81040,Skikda,Marketing,Business,High School,11226,9.0,12,Full-time
"EMR, CPR, Phlebotomy",5,59140,M'Sila,Healthcare,Health,Technical Diploma,11227,,14,Full-time
"Curriculum Design, E-Learning, Assessment, Teaching",2,100682,Algiers,Education,Education,Technical Diploma,11228,,14,Full-time
"Python, Data Visualization, Statistics, R, Machine Learning, SQL",3,63207,Tizi Ouzou,Data Science,Information Technology,Technical Diploma,11229,,14,Full-time
"Google Ads, Social Media, Copywriting, Content Creation",7,114237,Constantine,Marketing,Business,High School,11230,9.0,12,Full-time
"Fleet Management, Warehouse Ops, Inventory Management, Routing, Supply Chain",4,115642,Skikda,Logistics,Supply Chain,Master's,11231,17.0,17,Full-time
"Social Media, Google Ads, SEO, Content Creation, Copywriting, Analytics",5,96216,Skikda,Marketing,Business,High School,11232,9.0,12,Full-time
"JavaScript, Python, Git, REST, Django, SQL",3,137736,Skikda,Software Engineering,Information Technology,Doctorate,11233,20.0,20,Full-time
"Python, REST, C++",3,62197,Bejaia,Software Engineering,Information Technology,Bachelor's,11234,12.0,15,Full-time
"Sales Forecasting, Customer Service, CRM, Lead Generation",2,93269,M'Sila,Sales,Business,Technical Diploma,11235,,14,Full-time
"3D Modeling, Illustrator, Creativity, Graphic Design, Photoshop, UI/UX",2,80447,Oran,Art & Design,Creative,High School,11236,9.0,12,Full-time
"Irrigation, Soil Testing, Crop Management, Tractor Operation",14,125583,Skikda,Agriculture,Agriculture,High School,11237,9.0,12,Full-time
"Photoshop, UI/UX, Illustrator, 3D Modeling",5,56682,Blida,Art & Design,Creative,High School,11238,9.0,12,Full-time
"Project Management, AutoCAD, SolidWorks, Design, Blueprint Reading",12,162384,Tipaza,Engineering,Engineering,No Formal Education,11239,0.0,0,Full-time
"Photoshop, 3D Modeling, UI/UX, Graphic Design",2,62520,Skikda,Art & Design,Creative,Doctorate,11240,20.0,20,Full-time
"Illustrator, 3D Modeling, Graphic Design, Creativity, UI/UX",7,76617,Tlemcen,Art & Design,Creative,Master's,11241,17.0,17,Full-time
"Investment, Accounting, Risk Management, Financial Analysis",3,68569,Constantine,Finance,Business,Ingénieur,11242,17.0,17,Full-time
"Event Planning, Front Desk, Customer Service",6,68755,Ghardaia,Hospitality,Tourism & Hospitality,Bachelor's,11243,12.0,15,Full-time
"Supply Chain, Warehouse Ops, Fleet Management, Inventory Management, Routing",1,83285,Biskra,Logistics,Supply Chain,Doctorate,11244,20.0,20,Full-time
"CRM, Negotiation, Lead Generation, Sales Forecasting, Customer Service",1,121781,Blida,Sales,Business,Technical Diploma,11245,,14,Full-time
"Social Media, SEO, Copywriting, Analytics, Content Creation, Google Ads",1,154654,Tizi Ouzou,Marketing,Business,No Formal Education,11246,0.0,0,Full-time
"3D Modeling, Graphic Design, Illustrator, Photoshop, Creativity, UI/UX",1,79402,Annaba,Art & Design,Creative,High School,11247,9.0,12,Full-time
"Security, Networking, Scripting, Linux, Virtualization, Windows Server",1,56176,Batna,System Administration,Information Technology,Bachelor's,11248,12.0,15,Full-time
"Photoshop, UI/UX, 3D Modeling",1,82479,Chlef,Art & Design,Creative,No Formal Education,11249,0.0,0,Full-time
"Mentoring, E-Learning, Assessment, Teaching, Classroom Management",3,108099,Setif,Education,Education,Master's,11250,17.0,17,Full-time
"E-Learning, Mentoring, Assessment, Classroom Management, Curriculum Design, Teaching",15,87481,Algiers,Education,Education,Master's,11251,17.0,17,Full-time
"3D Modeling, Graphic Design, Creativity, Illustrator",1,79170,Ghardaia,Art & Design,Creative,Master's,11252,17.0,17,Full-time
"Excel, Accounting, Auditing, Financial Analysis, Risk Management",4,71080,Ghardaia,Finance,Business,No Formal Education,11253,0.0,0,Full-time
"Python, R, Machine Learning",9,53207,Ghardaia,Data Science,Information Technology,Bachelor's,11254,12.0,15,Full-time
"HTML, Node.js, WordPress, Responsive Design",2,106668,Tizi Ouzou,Web Development,Information Technology,Bachelor's,11255,12.0,15,Full-time
"Contracts, Negotiation, Legal Research, Case Management",1,159265,Ghardaia,Legal,Legal,Master's,11256,17.0,17,Full-time
"Blueprint Reading, Project Management, MATLAB, SolidWorks, AutoCAD, Design",1,125675,Relizane,Engineering,Engineering,Technical Diploma,11257,,14,Full-time
"Virtualization, Security, Linux, Networking, Windows Server, Scripting",10,127898,Skikda,System Administration,Information Technology,Technical Diploma,11258,,14,Full-time
"CSS, JavaScript, WordPress, Responsive Design",1,114805,Relizane,Web Development,Information Technology,Doctorate,11259,20.0,20,Full-time
"Responsive Design, React, HTML, Node.js",4,108303,Batna,Web Development,Information Technology,Bachelor's,11260,12.0,15,Full-time
"Content Creation, Copywriting, Branding, SEO, Social Media",2,71967,Setif,Marketing,Business,Master's,11261,17.0,17,Full-time
"Routing, Warehouse Ops, Supply Chain",8,107568,Bordj Bou Arreridj,Logistics,Supply Chain,No Formal Education,11262,0.0,0,Full-time
"Customer Service, Lead Generation, Cold Calling, Negotiation, Sales Forecasting",3,67979,Algiers,Sales,Business,No Formal Education,11263,0.0,0,Full-time
"Negotiation, CRM, Cold Calling, Customer Service, Sales Forecasting",4,135094,Tlemcen,Sales,Business,Ingénieur,11264,17.0,17,Full-time
"Branding, Social Media, SEO, Analytics, Google Ads, Copywriting",1,77912,Ghardaia,Marketing,Business,Master's,11265,17.0,17,Full-time
"React, WordPress, Node.js, JavaScript, Responsive Design",13,156856,Tlemcen,Web Development,Information Technology,Technical Diploma,11266,,14,Full-time
"Sales Forecasting, Customer Service, Cold Calling, Negotiation, Lead Generation",8,84471,Tipaza,Sales,Business,Doctorate,11267,20.0,20,Full-time
"Investment, Budgeting, Accounting",3,120079,M'Sila,Finance,Business,Doctorate,11268,20.0,20,Full-time
"Reservation Systems, Front Desk, Customer Service",2,65859,Tizi Ouzou,Hospitality,Tourism & Hospitality,High School,11269,9.0,12,Full-time
"Regulatory Compliance, Legal Research, Case Management, Litigation, Negotiation, Contracts",3,181126,Tizi Ouzou,Legal,Legal,High School,11270,9.0,12,Full-time
"Branding, Copywriting, Analytics, SEO, Google Ads, Social Media",5,91657,Tipaza,Marketing,Business,High School,11271,9.0,12,Full-time
"Ethical Hacking, Penetration Testing, Forensics, Firewalls, SIEM, Network Security",1,66041,Constantine,Cybersecurity,Information Technology,Master's,11272,17.0,17,Full-time
"Carpentry, Blueprint Reading, Plumbing, Site Management, Masonry, Safety Procedures",9,84545,Ghardaia,Construction,Construction,Bachelor's,11273,12.0,15,Full-time
"Negotiation, CRM, Cold Calling",1,62038,Bejaia,Sales,Business,High School,11274,9.0,12,Full-time
"Investment, Excel, Budgeting",1,69721,Ouargla,Finance,Business,No Formal Education,11275,0.0,0,Full-time
"Reservation Systems, Customer Service, Front Desk, Food Safety",2,127763,Ghardaia,Hospitality,Tourism & Hospitality,Technical Diploma,11276,,14,Full-time
"Food Safety, Event Planning, Reservation Systems, Front Desk",1,59920,Blida,Hospitality,Tourism & Hospitality,High School,11277,9.0,12,Full-time
"Python, Data Visualization, Pandas, TensorFlow, Machine Learning",4,82323,Ouargla,Data Science,Information Technology,Technical Diploma,11278,,14,Full-time
"Virtualization, Networking, Windows Server, Linux",13,52007,Tlemcen,System Administration,Information Technology,Master's,11279,17.0,17,Full-time
"Legal Research, Negotiation, Litigation, Case Management, Contracts, Regulatory Compliance",5,176553,Relizane,Legal,Legal,High School,11280,9.0,12,Full-time
"Lead Generation, Negotiation, Customer Service, Cold Calling, Sales Forecasting, CRM",13,102644,Ouargla,Sales,Business,Bachelor's,11281,12.0,15,Full-time
"Reservation Systems, Food Safety, Customer Service, Event Planning, Front Desk",10,128960,M'Sila,Hospitality,Tourism & Hospitality,No Formal Education,11282,0.0,0,Full-time
"Pest Control, Irrigation, Soil Testing, Agro-tech, Crop Management, Tractor Operation",7,82570,Setif,Agriculture,Agriculture,Master's,11283,17.0,17,Full-time
"Agro-tech, Crop Management, Soil Testing, Pest Control, Irrigation, Tractor Operation",2,76265,Mostaganem,Agriculture,Agriculture,High School,11284,9.0,12,Full-time
"Content Creation, SEO, Google Ads, Social Media, Copywriting, Branding",5,161561,Batna,Marketing,Business,Master's,11285,17.0,17,Full-time
"Inventory Management, Supply Chain, Warehouse Ops, Routing, Fleet Management",1,124874,Bordj Bou Arreridj,Logistics,Supply Chain,Ingénieur,11286,17.0,17,Full-time
"Customer Service, Event Planning, Front Desk, Food Safety",3,123865,Algiers,Hospitality,Tourism & Hospitality,No Formal Education,11287,0.0,0,Full-time
"Tractor Operation, Crop Management, Soil Testing, Irrigation, Agro-tech",8,96726,Tizi Ouzou,Agriculture,Agriculture,Doctorate,11288,20.0,20,Full-time
"Warehouse Ops, Supply Chain, Inventory Management, Routing, Fleet Management",1,160222,M'Sila,Logistics,Supply Chain,Bachelor's,11289,12.0,15,Full-time
"C++, Django, SQL, Java, REST",2,147779,Bejaia,Software Engineering,Information Technology,Technical Diploma,11290,,14,Full-time
"CRM, Lead Generation, Customer Service, Cold Calling, Sales Forecasting",4,82900,Bordj Bou Arreridj,Sales,Business,Bachelor's,11291,12.0,15,Full-time
"Plumbing, Safety Procedures, Masonry, Blueprint Reading, Carpentry, Site Management",5,43319,M'Sila,Construction,Construction,Bachelor's,11292,12.0,15,Full-time
"Python, Statistics, SQL",4,117014,Bejaia,Data Science,Information Technology,Doctorate,11293,20.0,20,Full-time
"Scripting, Virtualization, Windows Server, Security, Networking, Linux",1,82815,Bejaia,System Administration,Information Technology,Ingénieur,11294,17.0,17,Full-time
"Patient Care, Phlebotomy, CPR, Anatomy, Medical Terminology",11,87406,Bordj Bou Arreridj,Healthcare,Health,Bachelor's,11295,12.0,15,Full-time
"SIEM, Penetration Testing, Network Security, Forensics, Ethical Hacking",13,139029,Tipaza,Cybersecurity,Information Technology,Master's,11296,17.0,17,Full-time
"Creativity, Photoshop, Graphic Design",1,173108,Relizane,Art & Design,Creative,Bachelor's,11297,12.0,15,Full-time
"Google Ads, Social Media, SEO, Copywriting",7,80571,Skikda,Marketing,Business,Technical Diploma,11298,,14,Full-time
"3D Modeling, Illustrator, Photoshop, Graphic Design",4,55065,Constantine,Art & Design,Creative,Bachelor's,11299,12.0,15,Full-time
"Network Security, Penetration Testing, Forensics, Firewalls, Ethical Hacking, SIEM",2,123311,Sidi Bel Abbès,Cybersecurity,Information Technology,No Formal Education,11300,0.0,0,Full-time
"Teaching, E-Learning, Classroom Management, Mentoring",5,127785,Chlef,Education,Education,Bachelor's,11301,12.0,15,Full-time
"JavaScript, Django, Java, SQL",1,84364,Constantine,Software Engineering,Information Technology,No Formal Education,11302,0.0,0,Full-time
"Crop Management, Tractor Operation, Irrigation",1,106888,Oran,Agriculture,Agriculture,High School,11303,9.0,12,Full-time
"Linux, Virtualization, Networking",13,68995,Relizane,System Administration,Information Technology,High School,11304,9.0,12,Full-time
"Virtualization, Scripting, Networking, Security, Windows Server, Linux",6,92909,Biskra,System Administration,Information Technology,Bachelor's,11305,12.0,15,Full-time
"Responsive Design, CSS, HTML, React",5,95380,Bejaia,Web Development,Information Technology,Bachelor's,11306,12.0,15,Full-time
"CPR, Patient Care, Anatomy, Phlebotomy, Medical Terminology",2,73902,Tipaza,Healthcare,Health,Doctorate,11307,20.0,20,Full-time
"Routing, Supply Chain, Warehouse Ops, Fleet Management, Inventory Management",1,36579,M'Sila,Logistics,Supply Chain,Technical Diploma,11308,,14,Full-time
"Firewalls, Ethical Hacking, Network Security, SIEM, Forensics, Penetration Testing",2,133198,Oran,Cybersecurity,Information Technology,Bachelor's,11309,12.0,15,Full-time
"Contracts, Case Management, Litigation",7,124999,Tizi Ouzou,Legal,Legal,Bachelor's,11310,12.0,15,Full-time
"Event Planning, Customer Service, Reservation Systems, Food Safety, Front Desk",11,84007,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,High School,11311,9.0,12,Full-time
"Sales Forecasting, Cold Calling, Lead Generation, Customer Service, CRM",5,63681,Skikda,Sales,Business,Bachelor's,11312,12.0,15,Full-time
"Creativity, Illustrator, 3D Modeling",9,111804,Constantine,Art & Design,Creative,High School,11313,9.0,12,Full-time
"Front Desk, Reservation Systems, Customer Service",2,113042,Algiers,Hospitality,Tourism & Hospitality,Doctorate,11314,20.0,20,Full-time
"Blueprint Reading, Carpentry, Site Management",4,121339,Bejaia,Construction,Construction,Doctorate,11315,20.0,20,Full-time
"Virtualization, Linux, Windows Server",8,68847,Oran,System Administration,Information Technology,No Formal Education,11316,0.0,0,Full-time
"Excel, Budgeting, Accounting, Risk Management, Investment",1,71668,Skikda,Finance,Business,Doctorate,11317,20.0,20,Full-time
"Assessment, E-Learning, Teaching, Classroom Management, Curriculum Design, Mentoring",8,81565,Chlef,Education,Education,Ingénieur,11318,17.0,17,Full-time
"E-Learning, Assessment, Mentoring, Teaching, Classroom Management",2,144515,Ghardaia,Education,Education,Bachelor's,11319,12.0,15,Full-time
"Tractor Operation, Crop Management, Agro-tech, Pest Control",15,183811,Blida,Agriculture,Agriculture,Master's,11320,17.0,17,Full-time
"Safety Procedures, Site Management, Plumbing",6,64107,Mostaganem,Construction,Construction,No Formal Education,11321,0.0,0,Full-time
"Negotiation, Cold Calling, Sales Forecasting, Customer Service, Lead Generation",1,145788,Ouargla,Sales,Business,High School,11322,9.0,12,Full-time
"Food Safety, Customer Service, Event Planning",8,80463,Annaba,Hospitality,Tourism & Hospitality,Bachelor's,11323,12.0,15,Full-time
"Security, Windows Server, Networking, Virtualization, Linux, Scripting",2,42968,Mostaganem,System Administration,Information Technology,Technical Diploma,11324,,14,Full-time
"Site Management, Blueprint Reading, Plumbing, Safety Procedures, Carpentry",3,69556,Tipaza,Construction,Construction,No Formal Education,11325,0.0,0,Full-time
"Regulatory Compliance, Legal Research, Contracts, Case Management, Litigation",5,96413,Ouargla,Legal,Legal,Master's,11326,17.0,17,Full-time
"Patient Care, CPR, Phlebotomy, Medical Terminology",3,73606,Tipaza,Healthcare,Health,Master's,11327,17.0,17,Full-time
"Curriculum Design, E-Learning, Mentoring",1,48213,Ghardaia,Education,Education,No Formal Education,11328,0.0,0,Full-time
"Budgeting, Risk Management, Financial Analysis, Auditing, Accounting",2,53212,Relizane,Finance,Business,Master's,11329,17.0,17,Full-time
"Ethical Hacking, Firewalls, Forensics, Penetration Testing, Network Security, SIEM",12,65949,Tlemcen,Cybersecurity,Information Technology,Technical Diploma,11330,,14,Full-time
"SolidWorks, MATLAB, Design, Project Management",1,129628,Setif,Engineering,Engineering,Bachelor's,11331,12.0,15,Full-time
"Patient Care, Phlebotomy, Anatomy, CPR",6,100612,Skikda,Healthcare,Health,Ingénieur,11332,17.0,17,Full-time
"Virtualization, Windows Server, Security, Linux, Scripting, Networking",15,106848,Constantine,System Administration,Information Technology,Doctorate,11333,20.0,20,Full-time
"Linux, Windows Server, Security, Virtualization, Scripting, Networking",7,139200,Constantine,System Administration,Information Technology,Ingénieur,11334,17.0,17,Full-time
"Linux, Scripting, Networking, Virtualization, Windows Server, Security",2,75363,Tizi Ouzou,System Administration,Information Technology,Master's,11335,17.0,17,Full-time
"Reservation Systems, Front Desk, Food Safety",7,114429,Tipaza,Hospitality,Tourism & Hospitality,Technical Diploma,11336,,14,Full-time
"Masonry, Carpentry, Safety Procedures",1,119156,Blida,Construction,Construction,Doctorate,11337,20.0,20,Full-time
"WordPress, JavaScript, Node.js",1,180821,Relizane,Web Development,Information Technology,Ingénieur,11338,17.0,17,Full-time
"Ethical Hacking, Forensics, Penetration Testing, Network Security, Firewalls",9,83416,Skikda,Cybersecurity,Information Technology,Technical Diploma,11339,,14,Full-time
"AutoCAD, SolidWorks, Project Management",1,110317,M'Sila,Engineering,Engineering,Technical Diploma,11340,,14,Full-time
"Scripting, Networking, Security, Windows Server, Virtualization, Linux",7,88783,Biskra,System Administration,Information Technology,Bachelor's,11341,12.0,15,Full-time
"E-Learning, Assessment, Teaching",2,75902,Sidi Bel Abbès,Education,Education,Doctorate,11342,20.0,20,Full-time
"Virtualization, Linux, Windows Server, Networking, Scripting, Security",1,132118,Tlemcen,System Administration,Information Technology,Doctorate,11343,20.0,20,Full-time
"Patient Care, Phlebotomy, EMR, Anatomy, CPR, Medical Terminology",1,82090,Relizane,Healthcare,Health,No Formal Education,11344,0.0,0,Full-time
"Phlebotomy, Anatomy, EMR, CPR",6,119906,Skikda,Healthcare,Health,No Formal Education,11345,0.0,0,Full-time
"Carpentry, Masonry, Plumbing",3,83985,Sidi Bel Abbès,Construction,Construction,No Formal Education,11346,0.0,0,Full-time
"Assessment, Mentoring, Classroom Management, Curriculum Design, E-Learning, Teaching",1,149828,Chlef,Education,Education,High School,11347,9.0,12,Full-time
"R, Machine Learning, TensorFlow",12,85125,Algiers,Data Science,Information Technology,High School,11348,9.0,12,Full-time
"Pandas, SQL, R, Data Visualization, TensorFlow",3,167966,Relizane,Data Science,Information Technology,Bachelor's,11349,12.0,15,Full-time
"Fleet Management, Supply Chain, Warehouse Ops, Routing, Inventory Management",3,91797,Mostaganem,Logistics,Supply Chain,Bachelor's,11350,12.0,15,Full-time
"Site Management, Safety Procedures, Blueprint Reading, Carpentry",2,53835,Blida,Construction,Construction,Technical Diploma,11351,,14,Full-time
"Windows Server, Linux, Scripting",10,83570,Bejaia,System Administration,Information Technology,Master's,11352,17.0,17,Full-time
"Budgeting, Accounting, Investment, Risk Management",1,76322,Chlef,Finance,Business,Ingénieur,11353,17.0,17,Full-time
"Firewalls, SIEM, Network Security, Penetration Testing, Ethical Hacking",4,73726,Relizane,Cybersecurity,Information Technology,Bachelor's,11354,12.0,15,Full-time
"Java, C++, Python, REST, SQL",10,55868,Batna,Software Engineering,Information Technology,Doctorate,11355,20.0,20,Full-time
"Data Visualization, Machine Learning, Pandas, TensorFlow, Statistics, SQL",9,33193,Bordj Bou Arreridj,Data Science,Information Technology,Bachelor's,11356,12.0,15,Full-time
"Financial Analysis, Auditing, Excel, Investment",2,33952,Blida,Finance,Business,Bachelor's,11357,12.0,15,Full-time
"Blueprint Reading, Project Management, AutoCAD, MATLAB, SolidWorks, Design",15,138620,Oran,Engineering,Engineering,Technical Diploma,11358,,14,Full-time
"Classroom Management, Teaching, E-Learning",1,82696,Ghardaia,Education,Education,Ingénieur,11359,17.0,17,Full-time
"Investment, Accounting, Risk Management, Financial Analysis, Budgeting, Auditing",13,104293,Tizi Ouzou,Finance,Business,Master's,11360,17.0,17,Full-time
"Analytics, Branding, Content Creation, Google Ads",9,92795,Biskra,Marketing,Business,No Formal Education,11361,0.0,0,Full-time
"Security, Networking, Virtualization, Windows Server",6,71740,Skikda,System Administration,Information Technology,Master's,11362,17.0,17,Full-time
"Python, Statistics, R",8,62710,Sidi Bel Abbès,Data Science,Information Technology,High School,11363,9.0,12,Full-time
"Front Desk, Customer Service, Reservation Systems, Event Planning, Food Safety",5,55775,Bejaia,Hospitality,Tourism & Hospitality,High School,11364,9.0,12,Full-time
"WordPress, React, CSS, HTML, JavaScript",7,132363,Algiers,Web Development,Information Technology,High School,11365,9.0,12,Full-time
"Supply Chain, Warehouse Ops, Inventory Management",5,86446,Algiers,Logistics,Supply Chain,Technical Diploma,11366,,14,Full-time
"WordPress, CSS, Responsive Design, React, Node.js",12,71678,Oran,Web Development,Information Technology,Ingénieur,11367,17.0,17,Full-time
"Plumbing, Blueprint Reading, Carpentry, Site Management",2,152646,Bordj Bou Arreridj,Construction,Construction,Doctorate,11368,20.0,20,Full-time
"Illustrator, Creativity, UI/UX, Photoshop, 3D Modeling, Graphic Design",10,143014,Bejaia,Art & Design,Creative,Master's,11369,17.0,17,Full-time
"Data Visualization, R, Statistics, TensorFlow",7,92761,Skikda,Data Science,Information Technology,No Formal Education,11370,0.0,0,Full-time
"Python, SQL, Machine Learning, R, Pandas, TensorFlow",6,45947,Annaba,Data Science,Information Technology,Ingénieur,11371,17.0,17,Full-time
"Contracts, Regulatory Compliance, Case Management",10,105449,Bejaia,Legal,Legal,Technical Diploma,11372,,14,Full-time
"Copywriting, Branding, Social Media, Google Ads",1,42311,Skikda,Marketing,Business,No Formal Education,11373,0.0,0,Full-time
"Networking, Linux, Virtualization, Scripting, Security",8,83577,Oran,System Administration,Information Technology,Ingénieur,11374,17.0,17,Full-time
"Content Creation, Analytics, Branding, Copywriting, Social Media",3,177237,Blida,Marketing,Business,Doctorate,11375,20.0,20,Full-time
"Auditing, Investment, Financial Analysis",6,83488,Ouargla,Finance,Business,Technical Diploma,11376,,14,Full-time
"Scripting, Windows Server, Linux",1,60188,Ouargla,System Administration,Information Technology,Ingénieur,11377,17.0,17,Full-time
"Soil Testing, Tractor Operation, Irrigation, Crop Management",3,83045,Bordj Bou Arreridj,Agriculture,Agriculture,Master's,11378,17.0,17,Full-time
"Firewalls, SIEM, Forensics, Ethical Hacking, Network Security, Penetration Testing",8,37804,Mostaganem,Cybersecurity,Information Technology,No Formal Education,11379,0.0,0,Full-time
"Phlebotomy, CPR, Medical Terminology, Patient Care, EMR, Anatomy",10,66588,Constantine,Healthcare,Health,Doctorate,11380,20.0,20,Full-time
"SIEM, Firewalls, Forensics",9,135776,Relizane,Cybersecurity,Information Technology,Doctorate,11381,20.0,20,Full-time
"REST, JavaScript, Spring, Django, Python, C++",3,132305,Constantine,Software Engineering,Information Technology,High School,11382,9.0,12,Full-time
"Sales Forecasting, Lead Generation, Negotiation, Cold Calling, Customer Service, CRM",1,90680,Mostaganem,Sales,Business,High School,11383,9.0,12,Full-time
"Carpentry, Masonry, Plumbing",2,50362,Tizi Ouzou,Construction,Construction,Doctorate,11384,20.0,20,Full-time
