job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts,url,education_years,description,experience_min,experience_max,predicted_salary_dzd,inferred_skills
Chargée Patientéle,"Norma dental clinic & implant center, Dr Nadjib Bendifallah",2024-12-15T14:56:27.690Z,2025-02-13T23:59:59.000Z,Services,"Alger, Algérie",3 À 5 Ans,,,1 poste ouvert,https://emploitic.com/entreprises/norma-dental-clinic-implant-center-dr-nadjib-bendifallah-2/offres-d-emploi/services/chargee-patientele-e8f5172951f0bf0dedf67a07,,"<strong>Responsabilités :</strong> 01 Accueil des patients :<ol><li>Assurer un accueil chaleureux et personnalisé des patients dès leur arrivée à la clinique.</li><li>Préparer et offrir des boissons (thé, café, rafraîchissements) pour garantir une expérience de confort et de satisfaction.</li><li>Maintenir une atmosphère accueillante et rassurante dans la salle d'attente.</li></ol> 02 Gestion des rendez-vous :<ol><li>Planifier et gérer les rendez-vous via le système informatique de gestion de la clinique.</li><li>Assurer le suivi des rendez-vous en appelant les patients pour confirmation ou rappel si nécessaire.</li><li>Adapter l'organisation des créneaux horaires en cas d'urgence ou d'annulation de rendez-vous.</li></ol> 03 Assistance administrative :<ol><li>Enregistrer les informations et documents administratifs des patients de manière rigoureuse et confidentielle.</li><li>Vérifier et organiser les dossiers des patients avant les consultations pour une fluidité optimale du circuit de soins.</li><li>Tenir à jour le planning des praticiens et assurer une bonne communication interne entre les différents services.</li></ol> 04 Gestion des appels et communications :<ol><li>Répondre de manière professionnelle aux appels téléphoniques, courriels, et messages des patients.</li><li>Fournir les informations nécessaires aux patients et orienter les appels vers les services ou praticiens appropriés.</li><li>Gérer les demandes de renseignements en ligne (formulaire, réseaux sociaux) et fournir des réponses précises sur toute les plates-formes digitales du centre.</li><li>Remplir les différents tableaux de bords de suivis des patients</li></ol> 05 Support à la satisfaction des patients :<ol><li>Écouter attentivement les besoins et attentes des patients pour assurer leur satisfaction tout au long de leur visite.</li><li>Anticiper les attentes des patients et faire preuve d'initiative pour résoudre les éventuels problèmes ou plaintes.</li><li>Assurer le suivi des retours et feed-back des patients, et contribuer à l'amélioration continue des services d'accueil.</li></ol> Assistance logistique :<ol><li>Veiller à la propreté et à l'organisation de l'espace d'accueil et de la salle d'attente.</li><li>Préparer et réapprovisionner les fournitures de bureau et autres éléments nécessaires pour l'accueil des patients.</li><li>Coordonner avec l'équipe pour garantir une atmosphère agréable et un environnement bien organisé.</li></ol> <strong>Profil recherché :</strong><ul><li>Formation : Bac+3 minimum, de préférence en communication, gestion ou domaine équivalent.</li><li>Compétences linguistiques : Maîtrise parfaite de l'arabe et du français, maîtrise de l'anglais souhaitée.</li><li>Compétences techniques et relationnelles :</li><li>Excellentes capacités relationnelles et de communication.</li><li>Sens de l'écoute active et aptitude à analyser et comprendre les besoins des patients.</li><li>Autonomie et capacité d'adaptation face aux imprévus et aux changements de dernière minute.</li><li>Sens de l'organisation, rigueur et méthodologie dans la gestion des tâches quotidiennes.</li><li>Forte orientation client et engagement envers la satisfaction et le bien-être des patients.</li><li>Esprit orienté solution et capacité à résoudre efficacement les problèmes.</li><li>Qualités personnelles :</li><li>Dynamique, ambitieuse et motivée par l'excellence.</li><li>Profil consciencieux, méthodique et bien organisé.</li></ul> Conditions de&nbsp;<strong>travail</strong>&nbsp;:<ul><li>Type de contrat : CDD Renouvelable</li><li>Horaire : Temps plein, avec flexibilité pour les horaires de travail</li><li>Avantages : Formation continue, environnement de travail agréable et équipe motivée</li></ul> <br>",3,5,34500,communication
Ingénieur Système d'information,KAOUA Food - OPTILLA,2024-12-15T14:51:02.480Z,2025-02-13T23:59:59.000Z,Industries,"Alger, Algérie",1 À 2 Ans,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/kaoua-food-optilla-2/offres-d-emploi/industries/ingenieur-systeme-d-information-fe3216767731df9ff935b446,17.0,"<b style=""font-size: 1rem;"">Analyse des besoins et conception <ol type=""1""> <li>Analyser fonctionnellement les besoins métiers (étude de faisabilité) et la rédaction des cahiers des charges (retranscription technique)</li> <li>Participer aux réunions de cadrage et d'analyse des fit gap dans le cadre de mise en place d'un core model.&nbsp;</li></ol> Réalisation des projets SI <ol type=""1""> <li>Rédiger les spécifications techniques dans le cadre de grands projets de développements SI du groupe. </li> <li>Réalise des tâches de développement ou de paramétrage d'applications </li> <li>Intégration des solutions </li> <li>Coordonner toutes les parties prenantes du projet dans le cadre de son périmètre de responsabilité </li> <li>Mettre en place les tests et recettes (pilotage et réalisation) des applications dans le cadre de projets de développement ou d'évolution du SI</li> <li>S'assurer de l'adéquation de la solution mise en place avec les besoins exprimés</li> </ol> &nbsp;<b style=""font-size: 1rem;"">Intégration des projets <ol type=""1""> <li>Assurer la cohérence de la solution globale sur son périmètre de responsabilité</li> <li>Le support auprès des utilisateurs et le change management auprès des utilisateurs finaux</li> <li>Déploiement de solution testées et validées à un niveau pilote</li> <li>Assurer la phase de stabilisation poste production du SI et Hand Over vers l'équipe d'exploitation. </li> </ol> &nbsp;<span style=""font-size: 1rem;"">&nbsp;</span><b style=""font-size: 1rem;"">Pilotage et Suivi de son activité <ol type=""1""> <li>Mettre en place un reporting de son activité auprès de sa hiérarchie</li> <li>Participer à la définition de la charge et/coût de mise en place d'une fonctionnalité (projet). </li> </ol> &nbsp;<b style=""font-size: 1rem;"">Capitalisation des connaissances <ol type=""1""> <li>Capitaliser sur les projets menés et produire toute la documentation associée. </li> <li>Mener des activités de veille technologique et être force de proposition vis à vis de sa hiérarchie</li></ol>",1,2,65500,management
Commercial Formation,NetBeOpen,2024-12-15T14:48:08.061Z,2025-02-13T23:59:59.000Z,"Informatique, Télécom, Internet","Alger, Algérie",3 À 5 Ans,"Master 1, Licence  Bac + 4",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/netbeopen/offres-d-emploi/informatique-telecom-internet/commercial-formation-6cccdd87ac087d7bdd92641e,16.0,"<span style=""font-size: 1rem;"">Nous recherchons dans l'immédiat Un commercial qui a de l'expérience dans le domaine de la formation, passionnée, motivée prêt à rejoindre le domaine IT</span> <strong>Responsabilités</strong> -Identifier de nouveaux prospects dans le secteur de la formation. -Contacter des entreprises, institutions et organisations pour leur proposer des solutions de formation adaptées. -Réaliser des études de marché et suivre les tendances du secteur pour repérer des opportunités commerciales. -Présenter et vendre des programmes de formation en fonction des besoins identifiés chez les clients. -Élaborer des propositions commerciales et des devis personnalisés pour chaque client. -Négocier les conditions de vente, les prix et les modalités contractuelles des formations. -Assurer un suivi post-formation pour garantir la satisfaction des clients et recueillir leurs retours sur la qualité des formations. -Fidéliser la clientèle en proposant de nouvelles formations ou des solutions adaptées à l'évolution de leurs besoins. -Assurer une relation de proximité avec les clients, en garantissant la continuité des relations commerciales. -Suivre et gérer les inscriptions, les programmes et les plannings des formations. -Collaborer avec le service administratif pour la préparation des contrats et des documents nécessaires. -Participer à l'organisation logistique des sessions de formation, en coordination avec les formateurs et les clients. -Atteindre les objectifs de vente mensuels et annuels définis par la direction commerciale. -Effectuer un reporting régulier des résultats commerciaux auprès de la hiérarchie. -Analyser les performances de vente et proposer des actions correctives si nécessaire. -Surveiller la concurrence et les évolutions du marché de la formation professionnelle. -Participer à l'amélioration continue des offres de formation en fonction des retours clients et des tendances du secteur. <strong>Qualifications</strong><ul><li>Diplôme en commerce (Licence, Mater, TS, BTS)</li><li>Habitant Cheraga et ses environs, Le véhicule sera un plus </li><li>Une expérience d'au moins deux ans dans le domaine de la formation de préférence dans le domaine IT </li><li>Présentable, négociateur, patient et à l'écoute du client</li><li>Autonome, possédant un bon relationnel </li><li>Maîtrise la gestion des imprévus et des crises</li></ul> <br />",3,5,66500,
Ingénieur IT – Déploiement de Solutions IT,NetBeOpen,2024-12-15T14:46:54.085Z,2025-02-13T23:59:59.000Z,"Informatique, Télécom, Internet","Rahmania, Daïra Zéralda, Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,6 postes ouverts,https://emploitic.com/entreprises/netbeopen/offres-d-emploi/informatique-telecom-internet/ingenieur-it-deploiement-de-solutions-it-18ceac7aa977e90878c6f52b,17.0,"<strong>Description du poste :</strong> Nous sommes une entreprise en pleine croissance spécialisée dans l'intégration de solutions IT innovantes. Afin de renforcer notre équipe, nous recherchons un Ingénieur IT motivé et dynamique pour assurer le déploiement de nos solutions IT chez nos clients. <span style=""font-size: 1rem;"">Rejoignez nous pour faire partie d'une équipe dynamique et contribuer à des projets passionnants dans le domaine de l'IT!</span> <strong style=""font-size: 1rem;"">Missions principales :</strong> - Participer à l'étude des besoins des clients et à la conception de solutions adaptées. - Installer, configurer et déployer des solutions IT sur site ou à distance. - Assurer l'intégration et l'interopérabilité des systèmes IT dans des environnements complexes. - Fournir une assistance technique et une formation aux utilisateurs. - Réaliser des tests pour garantir le bon fonctionnement des systèmes déployés. - Rédiger des rapports techniques et de la documentation associée. - Collaborer avec les équipes internes pour l'amélioration continue des processus de déploiement. <strong>Profil recherché :</strong> - Diplômé(e) d'une école d'ingénieur ou titulaire d'un diplôme universitaire en informatique ou équivalent. - Expérience professionnelle de 2 à 5 ans dans un poste similaire est souhaitable. - Solides connaissances en infrastructure IT (serveurs, réseaux, virtualisation, stockage). - Maitrise des systèmes d'exploitation (Windows, Linux) et des outils de déploiement. - Capacité à diagnostiquer et à résoudre des problèmes techniques rapidement. - Bonne maîtrise des protocoles réseaux et de la cybersécurité. - Excellentes compétences en communication et esprit d'équipe. - Autonomie, rigueur et sens de l'organisation. <strong>Ce que nous offrons :</strong> - Un environnement de travail stimulant avec des projets variés et innovants. - Une formation continue pour développer vos compétences. - Des opportunités de croissance et d'évolution professionnelle. <br />",3,5,68500,"communication, linux"
Directeur financier et comptable,Groupe SIM ,2024-12-15T14:46:19.876Z,2025-02-13T23:59:59.000Z,Industries,"Blida, Algérie",6 À 10 Ans,"Master 1, Licence  Bac + 4 | Master 2, Ingéniorat, Bac + 5",CDI,2 postes ouverts,https://emploitic.com/entreprises/sim-2/offres-d-emploi/industries/directeur-financier-et-comptable-33f162198d852a5f29b082fd,17.0,"<h3 class=""""><span style=""font-size: 1rem;"">Mission</span></h3> - Superviser et gérer l'ensemble des opérations financières et comptables de l'entreprise et Veiller à la bonne tenue de la comptabilité générale et matière de l'entreprise et du strict respect et application des normes et règles comptables édictées par les autorités compétentes - Fournir à la Direction Générale toutes les informations de synthèse en relation la fonction Finances. - Assurer la conformité aux réglementations fiscales et financières en vigueur et - Veiller à l'application de dispositions réglementaires et législatives régissant les activités des structures de rattachement - Veiller à la production des états comptables et financiers et leur transmission à qui de droit dans les délais. - Diriger une équipe et assurer le développement professionnel de ses membres - Valider les résultats comptables dans le cadre des arrêtés mensuels, trimestriels et annuels - Fournir à la demande tout état et ou reporting se rapportant à l'activité comptable ou financier - S'assurer de la qualité de l'information comptable et financière destinée aux organes internes ou externes à l'entrepris <h3 class="""">Exigences :</h3><ul><li>Expérience avérée en tant que cadre dirigeant dans le domaine financier et comptable</li><li>Maitrise de la comptabilité matière et analytique et calcul de cout.</li><li>Maîtrise des outils informatiques et des logiciels de gestion financière</li><li>Excellentes compétences en communication, en leadership et en gestion d'équipe</li><li>Connaissance des réglementations fiscales et financières en Algérie</li><li>Opportunité de rejoindre une entreprise en pleine croissance et d'apporter sa contribution à son développement</li></ul> <br />",6,10,73000,"communication, leadership"
Responsable Moyens Généraux,FMM Industry,2024-12-15T14:45:24.389Z,2025-02-13T23:59:59.000Z,Industries,"Oued Smar, Daïra El Harrach, Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/fmm/offres-d-emploi/industries/responsable-moyens-generaux-0a2630b6a6446dbca6089946,17.0,"<br /><h3 class="""">Missions</h3><h3 class=""""><br /></h3><ul><li>Assurer la gestion des moyens généraux de l'entreprise, y compris la maintenance des infrastructures, la gestion du parc automobile, et l'approvisionnement en équipements et fournitures, afin de garantir un environnement de travail optimal.</li><li>Gérer l'approvisionnement et les stocks nécessaires.</li><li>Assurer le suivi de la maintenance et de l'entretien des locaux.</li><li>Assurer la bonne adaptation et la bonne compréhension des équipements techniques auprès des utilisateurs et services de l'entreprise.</li><li>Élaborer les procédures de fonctionnement du service MGX et patrimoine.</li><li>Réaliser un reporting des activités du service MGX.</li><li>Gestion des réceptions d'achats et des factures.</li><li>Mise en application de la procédure achats divers en vigueurs.</li><li>Assurer le suivi et la coordination des commandes.</li><li>Etablir les tableaux comparatifs des offres reçues en se basant sur les critères suivants : cout, qualité, et délais de livraison, modalité de paiement.</li><li>Participer à l'évaluation fournisseurs.</li><li>Gestion du back office achat (documentation contractuelle, demande d'achat, dossiers fournisseurs, archivage.</li></ul> <br /> <br /><h3 class="""">Profil</h3><h3 class=""""><br /></h3><ul><li>Licence ou Master en science économique (Management, Commerce, Finance).</li><li>Maîtrise des outils bureautiques et des logiciels de gestion.</li><li>Organisé.</li><li>Sens du relationnel.</li><li>Capacité de travail en équipe.</li><li>Connaissances dans le monde industriel.</li></ul> <br />",3,5,68500,management
Responsable Commercial et Marketing,FMM Industry,2024-12-15T14:44:00.975Z,2025-02-13T23:59:59.000Z,Industries,"Oued Smar, Daïra El Harrach, Alger, Algérie",6 À 10 Ans,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/fmm/offres-d-emploi/industries/responsable-commercial-et-marketing-48388a0f8fa6ff1f696e51c2,17.0,"<br /> Manager l'équipes commerciale dans les missions <span style=""font-size: 1rem;"">Suivantes</span> Développement des ventes :<ul><li>Identifier les opportunités commerciales sur le marché et développer des stratégies pour atteindre les objectifs de vente.</li><li>Prospecter de nouveaux clients et entretenir des relations solides avec les clients existants.</li><li>Préparer et présenter des offres commerciales adaptées aux besoins des clients.</li></ul> <br /> Gestion des clients et des comptes :<ul><li>Assurer un suivi régulier des clients pour garantir leur satisfaction et fidélité.</li><li>Analyser les besoins des clients et leur proposer des solutions adéquates pour améliorer leur expérience avec l'entreprise.</li><li>Gérer les comptes clés et négocier des contrats avantageux pour l'entreprise.</li><li>Négociation et conclusion des ventes :</li><li>Participer aux négociations commerciales avec les clients potentiels et actuels.</li><li>Élaborer des propositions commerciales</li><li>Assurer la clôture des ventes tout en maximisant les marges bénéficiaires.</li></ul> <br /> Veille concurrentielle :<ul><li>Surveiller l'évolution du marché, les tendances sectorielles et les actions des concurrents.</li><li>Proposer des ajustements stratégiques en fonction des opportunités et menaces identifiées sur le marché.</li></ul> <br /> <br />Profil<ul><li>Master 2 ingéniorat en commerce management/ Marketing.</li></ul> Compétences et qualifications requises :<ul><li>Expérience : Minimum 6 ans d'expérience dans un poste similaire.</li><li>Langues : Maîtrise de Français et de l'anglais, à l'oral comme à l'écrit.</li><li>Compétences en négociation : Aptitude avérée à négocier des contrats avec les clients tout en maintenant une relation positive.</li><li>Compétences en communication : Capacité à communiquer de manière claire et professionnelle avec différents interlocuteurs.</li><li>Compétences en gestion de comptes : Expérience dans la gestion de portefeuilles clients et la fidélisation de clients clés.</li><li>Expérience dans le management commercial et marketing.</li><li>Profil a manager une équipe commerciale.</li></ul> <br class=""Apple-interchange-newline"" /> <br />",6,10,73000,"communication, management, marketing"
Assistant(e) du Gérant,Entreprise anonyme,2024-12-15T14:43:21.771Z,2025-02-13T23:59:59.000Z,Industries,"Oued Smar, Daïra El Harrach, Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,1 poste ouvert,https://emploitic.com/offres-d-emploi/industries/assistant-e-du-gerant-f63dc0a42fc0bcebecc9397e,17.0,"<br /> L'assistante du Gérant est une fonction très importante au sein de l'entreprise, puisqu'elle consiste concrètement à assister le premier responsable dans l'accomplissement de ses tâches au quotidien. <br /> L'assistante du Gérant est la personne de confiance à qui des missions importantes et d'ordre très confidentiel sont confiées par le Gérant <br /> Missions principales : <br /><br /> - Assurer la gestion du planning du Gérant <br /> - Planifier les réunions du Gérant, <br /> - Organiser l'agenda du Gérant en tenant compte des imprévus professionnels ou personnels de celui-ci<br /> &nbsp;- Assurer une fonction d'intermédiaire entre le Gérant et les autres structures de&nbsp; l'entreprise. - Réceptionner et transmettre le courrier dans les délais requis<br /> - Assister le gérant dans la gestion des dossiers en instance &nbsp;- suivi des projet mise en place par l'entreprise - représenter le gérant auprès des institutions externe <br /> - Communiquer par téléphone ou par courrier électronique les informations à diffuser<br /> - Organiser les dossiers et effectuer des travaux de classement et d'archivage<br /> -- Organiser des réunions avec le Gérant pour faire le point sur l'avancement des dossiers en cours, les rendez-vous prévus et le courrier/dossiers à traiter. <br /> Conditions requises : <br /><br /> - Diplôme Universitaire en langue étrangère ,traduction ou &nbsp;administration <br /> - Expérience de 5 ans dans un poste similaire<br /> - Très bon sens de la communication<br /> - Excellente capacités rédactionnelles<br /> - Maîtrise des langues arabe, française anglais &nbsp;oral et écrit <br /> - Très bon sens de l'organisation<br /> - Réactivité, rigueur, discrétion et sens de la confidentialité<br /> - Sens de l'accueil et capacité d'écoute<br /> - Respect des délais et procédures (connaître les règles administratives)<br /> - Maîtrise du Pack Office. <br /> &nbsp; <br />",3,5,68500,communication
Superviseur Qualité,Sarl IMC Industrie Médico-chirurgicales,2024-12-15T14:41:34.401Z,2025-02-13T23:59:59.000Z,Industries,"Rouiba, Daïra Rouiba, Alger, Algérie",3 À 5 Ans,"Master 2, Ingéniorat, Bac + 5",CDD Ou Mission,3 postes ouverts,https://emploitic.com/entreprises/sarl-imc-industrie-medico-chirurgicales/offres-d-emploi/industries/superviseur-qualite-06b892a099d10096f55b7a2f,17.0,"<h3>Missions:</h3> <ul> <li>Superviser la qualité et veiller à l'application des procédures et instructions applicables aux différents processus de la division.</li> <li>Participer à l'analyse des causes des non qualité et veille au rétablissement des normes prescrites.</li> <li>Participer à la rédaction des procédures de production et s'assurer de leur application sur le terrain.</li> <li>Assurer la validation des procédés de fabrication.</li> <li>Participer à l'analyse des causes des dysfonctionnements, proposer des solutions, élaborer des plans d'actions.</li> <li>Superviser la qualité des produits et des activités du processus en vérifiant que le produit répond aux exigences qualité.</li> <li>Réaliser des audits internes de conformité (procédure, enregistrement).</li> <li>Suivre les opérations contre les nuisibles (dératisation, désinfection,).</li> <li>Coordonner les activités des agents de surveillance en cours de production.</li> <li>Assurer l'interface entre le responsable management de la qualité et les acteurs des autres processus.</li> <li>Suivre la réalisation des actions correctives et préventives.</li> <li>S'assurer que chaque étape de la fabrication est réalisée conformément aux procédures arrêtées par la direction et aux BPF.</li> <li>S'assurer que les produits destinés à la vente ont fait l'objet de libération par la direction.</li> <li>S'assurer que les matières premières destinées à la production sont déclarées conformes par le laboratoire contrôle qualité.</li> <li>Sensibiliser le personnel vis-à-vis des bonnes pratiques de fabrication et des concepts de la qualité.</li> <li>Enregistrer et reporter les écarts constatés au responsable management qualité.</li> <li>Accompagner les acteurs des processus dans la rédaction des documents qualité.</li> <li>Prendre en charge toute autre tâche confiée par son responsable hiérarchique.<br /><br /></li> </ul> <h3>Profil:</h3> <ul> <li>Ingénieur Génie des procédés, Génie mécanique ou Génie électrique.</li> <li>Diplôme en biologie. </li> <li>expérience dans le domaine.</li> </ul>",3,5,68500,management
Chargé des Ventes B2B,Condor Electronics Spa,2024-12-15T14:40:57.436Z,2025-02-13T23:59:59.000Z,Industries,"Blida, Algérie | Bouira, Algérie | Tizi Ouzou, Algérie | Alger, Algérie | Boumerdès, Daïra Boumerdès, Boumerdès, Algérie",3 À 5 Ans,"Licence (LMD), Bac + 3",CDD Ou Mission,1 poste ouvert,https://emploitic.com/entreprises/condor-electronics-spa/offres-d-emploi/industries/charge-des-ventes-b2b-50fb614678ac7f0757cff725,15.0,"SPA Condor Leader national dans la fabrication, la commercialisation et le service après-vente des produits électronique, électro domestique, électroménager, informatique, téléphonie et énergie renouvelable. Recrute :&nbsp; Chargé des ventes B2B Missions&nbsp;:<ul><li>Prospecter, négocier et développer des relations commerciales durables avec des entreprises afin de générer des ventes et atteindre les objectifs fixés.</li></ul> Taches principales&nbsp;:<ul><li> Identifier et prospecter de nouveaux clients B2B.</li><li> Assurer la gestion et le suivi des comptes clients existants.</li><li>Participer à l'élaboration&nbsp; &nbsp;des propositions commerciales adaptées aux besoins des clients.</li><li> </li><li>Participer à la&nbsp; Négociation des conditions commerciales et les prix.</li><li>Collaborer avec les équipes internes (marketing, service après-vente) pour répondre aux besoins des clients.</li><li>Participer à des événements et salons professionnels pour développer le réseau.</li><li>Atteindre les objectifs de vente définis par la direction commerciale.</li><li>Assurer la veille concurrentielle et le suivi du marché.</li><li>Présenter les produits ou services de l'entreprise lors de rendez-vous clients.</li></ul> Exigences du poste :<ul><li>Diplôme universitaire en Science Commercial, Commerce international, Marketing ou gestion.</li><li>Expérience de 02 ans et plus&nbsp; dans le domaine.</li><li>Bonne Communication.</li><li>Maitrise des langues étrangère notamment du Français.</li><li>Bonne maitrise de l'outil informatique.&nbsp;<br /> <br /> <br /></li></ul>",3,5,64500,"communication, marketing"
Superviseur des Ventes (HORECA),Faderco SPA,2024-12-15T14:39:56.740Z,2025-02-13T23:59:59.000Z,Industries,"Constantine, Algérie | Alger, Algérie | Annaba, Algérie",1 À 2 Ans | 3 À 5 Ans,"Master 1, Licence  Bac + 4",CDD Ou Mission,5 postes ouverts,https://emploitic.com/entreprises/faderco-spa/offres-d-emploi/industries/superviseur-des-ventes-horeca-dbb5ee1e7d880b2dbee7df37,16.0,"<p data-sider-select-id=""75fc826e-3bf5-4c2c-8343-5ecba5650dc0""><u data-sider-select-id=""7727ca0b-11b3-44e9-a5b7-7dcb4c5706d1""><b data-sider-select-id=""3d6ff217-0e34-4a2c-adf7-183b44ae88ed"">Missions et Taches : <ul><li>Optimiser le plan de tournée de ses commerciaux HORECA.<br /></li><li>Assurer et Mesurer l'activité commerciale de son équipe sur le terrain.<br /></li><li>Élaborer et exécuter les plans d'actions commerciales.<br /></li><li>Suis le budget des actions commerciales HORECA.<br /></li><li>Assurer l'assiduité de son équipe.<br /></li><li> Suivre et exécuter les promotions de l'entreprise.<br /></li><li> Accompagner et motiver son équipe.<br /></li><li>S'assurer de la discipline, la bonne présentation (Aspect Phtisique) et la ponctualité de son équipe.<br /></li><li>Assurer l'atteinte des objectifs des ventes de son équipe (journaliers, hebdomadaires et mensuels).<br /></li><li>Passer 80 % de son temps du travail sur le terrain.</li></ul><p data-sider-select-id=""57dcc456-92d4-482d-9c28-8b5ca4f21a05""><b data-sider-select-id=""ef639e01-6064-430f-9ed3-5212669ec1fc""><u data-sider-select-id=""8794dd0a-9cee-4177-b8c4-320538f2e04c"">Exigences du poste : <ul><li><span style=""font-size: 1rem;"" data-sider-select-id=""dd774f6b-6fe6-4f63-a375-e837a1014e4b"">BAC +4/5 ou équivalent en Commerce ou en Marketing.</span><br /></li><li><span style=""font-size: 1rem;"">02 années dans le secteur de la grande distribution ou dans un poste similaire (commercial terrain ou superviseur).</span></li><li><span style=""font-size: 1rem;"">Connaissances approfondies de secteur HORECA</span></li><li><span style=""font-size: 1rem;"">Discipline</span><br /></li><li><span style=""font-size: 1rem;"">Passionné par le travail du terrain.</span></li><li><span style=""font-size: 1rem;""> Utilisation d'outils bureautiques (traitement de texte, tableur,...)</span></li><li><span style=""font-size: 1rem;"">Techniques de vente et accompagnement terrain</span></li><li><span style=""font-size: 1rem;"">Techniques de merchandising</span><br /></li><li><span style=""font-size: 1rem;"">Eléments de base en marketing</span><br /></li><li><span style=""font-size: 1rem;""> Techniques d'animation d'équipe</span><br /></li><li><span style=""font-size: 1rem;"">Sens développé des relations humaines.</span><br /></li><li><span style=""font-size: 1rem;"">Capacité d'initiative élevée.</span><br /></li><li><span style=""font-size: 1rem;"">Capacité de communication élevée.</span><br /></li><li><span style=""font-size: 1rem;"">Expérience dans le Management des équipes (terrain) ou la motivation pour manager une équipe</span><br /></li><li><span style=""font-size: 1rem;""> Disponibilité horaire.</span><br /></li></ul><p data-sider-select-id=""57dcc456-92d4-482d-9c28-8b5ca4f21a05""><br /> <br /> <br /><ul> </ul>",1,5,63500,"communication, management, marketing"
Commercial junior,HTK Mobilier,2024-12-15T14:25:46.978Z,2025-02-13T14:25:46.883Z,Industries,"Mohammadia, Daïra Dar El Beïda, Alger, Algérie | Dély Brahim, Daïra Cheraga, Alger, Algérie",Moins D’un An | 1 À 2 Ans,"Master 1, Licence  Bac + 4 | Master 2, Ingéniorat, Bac + 5 | Licence (LMD), Bac + 3",CDD Ou Mission,2 postes ouverts,https://emploitic.com/entreprises/htk-mobilier/offres-d-emploi/industries/commercial-junior-7b3eb79e7b407841704fac24,17.0,"<h3>Description:</h3> Nous recherchons un(e) Commercial(e) junior pour rejoindre notre équipe à Mohammadia, Alger. Le candidat idéal sera un jeune diplômé avec moins d'un an d'expérience, possédant un Master 1 ou une Licence Bac + 4, et ayant un intérêt pour le domaine commercial et la vente.<h3>Responsabilités:</h3><ul><li> Prospection de nouveaux clients</li><li> Gestion des appels entrants et sortants</li><li> Participation aux actions de fidélisation de la clientèle</li><li> Assistance à l'équipe commerciale dans la réalisation des objectifs de vente</li></ul><h3>Exigences:</h3><ul><li> Maîtrise des techniques de vente et de négociation</li><li> Capacité à travailler en équipe</li><li> Excellentes compétences en communication</li><li> Connaissance des outils informatiques et des logiciels de gestion commerciale</li></ul><h3>Avantages:</h3><ul><li> Opportunité de développer des compétences commerciales dans un environnement dynamique</li><li> Formation continue et possibilité d'évolution au sein de l'entreprise</li><li> Contrat à durée déterminée ou mission</li></ul>",0,2,64000,communication
